day,time,value
2022-07-10,12,1.400000
2022-07-10,13,2.300000
2022-07-10,14,3.700000
2022-07-10,15,2.800000
2022-07-10,16,1.100000
2022-07-10,17,0.700000
2022-07-10,18,0.800000
2022-07-10,19,0.500000
2022-07-10,20,1.100000
2022-07-10,21,1.600000
2022-07-10,22,1.400000
2022-07-10,23,1.700000
2022-07-11,0,1.600000
2022-07-11,1,2.300000
2022-07-11,2,2.400000
2022-07-11,3,2.300000
2022-07-11,4,2.300000
2022-07-11,5,2.200000
2022-07-11,6,2.000000
2022-07-11,7,2.500000
2022-07-11,8,2.400000
2022-07-11,9,3.300000
2022-07-11,10,3.100000
2022-07-11,11,3.600000
2022-07-11,12,3.800000
2022-07-11,13,4.100000
2022-07-11,14,3.800000
2022-07-11,15,3.600000
2022-07-11,16,3.000000
2022-07-11,17,2.700000
2022-07-11,18,2.400000
2022-07-11,19,2.100000
2022-07-11,20,1.700000
2022-07-11,21,1.600000
2022-07-11,22,1.700000
2022-07-11,23,1.700000
2022-07-12,0,0.900000
2022-07-12,1,0.900000
2022-07-12,2,1.000000
2022-07-12,3,0.700000
2022-07-12,4,0.800000
2022-07-12,5,0.800000
2022-07-12,6,0.800000
2022-07-12,7,1.300000
2022-07-12,8,1.500000
2022-07-12,9,1.600000
2022-07-12,10,1.900000
2022-07-12,11,1.700000
2022-07-12,12,1.900000
2022-07-12,13,2.000000
2022-07-12,14,2.100000
2022-07-12,15,2.200000
2022-07-12,16,1.900000
2022-07-12,17,1.700000
2022-07-12,18,1.800000
2022-07-12,19,1.800000
2022-07-12,20,1.800000
2022-07-12,21,2.200000
2022-07-12,22,2.600000
2022-07-12,23,2.800000
2022-07-13,0,3.300000
2022-07-13,1,2.400000
2022-07-13,2,3.000000
2022-07-13,3,3.200000
2022-07-13,4,3.100000
2022-07-13,5,3.100000
2022-07-13,6,3.000000
2022-07-13,7,3.900000
2022-07-13,8,3.700000
2022-07-13,9,4.000000
2022-07-13,10,3.600000
2022-07-13,11,3.600000
2022-07-13,12,3.500000
2022-07-13,13,3.500000
2022-07-13,14,3.300000
2022-07-13,15,3.800000
2022-07-13,16,3.700000
2022-07-13,17,3.300000
2022-07-13,18,3.100000
2022-07-13,19,2.800000
2022-07-13,20,2.900000
2022-07-13,21,3.200000
2022-07-13,22,3.200000
2022-07-13,23,3.400000
2022-07-14,0,3.200000
2022-07-14,1,3.200000
2022-07-14,2,2.900000
2022-07-14,3,3.300000
2022-07-14,4,2.600000
2022-07-14,5,2.100000
2022-07-14,6,1.600000
2022-07-14,7,2.000000
2022-07-14,8,2.600000
2022-07-14,9,3.000000
2022-07-14,10,3.400000
2022-07-14,11,3.400000
2022-07-14,12,3.500000
2022-07-14,13,3.400000
2022-07-14,14,2.900000
2022-07-14,15,3.000000
2022-07-14,16,3.000000
2022-07-14,17,2.900000
2022-07-14,18,2.700000
2022-07-14,19,1.700000
2022-07-14,20,1.300000
2022-07-14,21,1.200000
2022-07-14,22,1.200000
2022-07-14,23,1.100000
2022-07-15,0,0.900000
2022-07-15,1,0.800000
2022-07-15,2,0.700000
2022-07-15,3,0.800000
2022-07-15,4,0.900000
2022-07-15,5,0.700000
2022-07-15,6,0.900000
2022-07-15,7,1.300000
2022-07-15,8,0.100000
2022-07-15,9,0.500000
2022-07-15,10,0.500000
2022-07-15,11,1.000000
2022-07-15,12,1.300000
2022-07-15,13,1.600000
2022-07-15,14,1.700000
2022-07-15,15,2.100000
2022-07-15,16,2.600000
2022-07-15,17,3.000000
2022-07-15,18,2.900000
2022-07-15,19,1.800000
2022-07-15,20,1.400000
2022-07-15,21,1.100000
2022-07-15,22,1.300000
2022-07-15,23,1.500000
2022-07-16,0,0.900000
2022-07-16,1,1.400000
2022-07-16,2,1.200000
2022-07-16,3,1.500000
2022-07-16,4,1.000000
2022-07-16,5,0.900000
2022-07-16,6,1.000000
2022-07-16,7,0.900000
2022-07-16,8,0.900000
2022-07-16,9,1.200000
2022-07-16,10,2.000000
2022-07-16,11,2.500000
2022-07-16,12,2.800000
2022-07-16,13,2.900000
2022-07-16,14,3.000000
2022-07-16,15,3.300000
2022-07-16,16,3.400000
2022-07-16,17,3.300000
2022-07-16,18,3.000000
2022-07-16,19,2.000000
2022-07-16,20,1.700000
2022-07-16,21,1.500000
2022-07-16,22,1.600000
2022-07-16,23,1.600000
2022-07-17,0,1.000000
2022-07-17,1,0.900000
2022-07-17,2,1.000000
2022-07-17,3,0.800000
2022-07-17,4,0.900000
2022-07-17,5,0.800000
2022-07-17,6,0.800000
2022-07-17,7,1.000000
2022-07-17,8,0.900000
2022-07-17,9,1.700000
2022-07-17,10,1.900000
2022-07-17,11,1.500000
2022-07-17,12,2.100000
2022-07-17,13,2.900000
2022-07-17,14,2.000000
2022-07-17,15,1.200000
2022-07-17,16,1.800000
2022-07-17,17,1.900000
2022-07-17,18,1.700000
2022-07-17,19,1.100000
2022-07-17,20,1.600000
2022-07-17,21,1.300000
2022-07-17,22,1.100000
2022-07-17,23,1.100000
2022-07-18,0,1.600000
2022-07-18,1,1.600000
2022-07-18,2,2.100000
2022-07-18,3,2.000000
2022-07-18,4,0.800000
2022-07-18,5,1.500000
2022-07-18,6,2.600000
2022-07-18,7,3.100000
2022-07-18,8,2.300000
2022-07-18,9,3.100000
2022-07-18,10,3.300000
2022-07-18,11,3.200000
2022-07-18,12,3.000000
2022-07-18,13,2.400000
2022-07-18,14,3.000000
2022-07-18,15,3.500000
2022-07-18,16,2.800000
2022-07-18,17,2.700000
2022-07-18,18,2.900000
2022-07-18,19,2.500000
2022-07-18,20,2.300000
2022-07-18,21,2.500000
2022-07-18,22,2.500000
2022-07-18,23,2.500000
2022-07-19,0,2.600000
2022-07-19,1,2.200000
2022-07-19,2,1.500000
2022-07-19,3,1.800000
2022-07-19,4,2.200000
2022-07-19,5,1.200000
2022-07-19,6,1.300000
2022-07-19,7,1.900000
2022-07-19,8,2.100000
2022-07-19,9,2.100000
2022-07-19,10,2.600000
2022-07-19,11,2.500000
2022-07-19,12,2.800000
2022-07-19,13,2.900000
2022-07-19,14,3.100000
2022-07-19,15,3.200000
2022-07-19,16,3.400000
2022-07-19,17,2.800000
2022-07-19,18,2.800000
2022-07-19,19,1.800000
2022-07-19,20,1.100000
2022-07-19,21,1.000000
2022-07-19,22,1.100000
2022-07-19,23,0.900000
2022-07-20,0,0.700000
2022-07-20,1,0.700000
2022-07-20,2,0.700000
2022-07-20,3,0.800000
2022-07-20,4,0.800000
2022-07-20,5,0.600000
2022-07-20,6,0.700000
2022-07-20,7,0.900000
2022-07-20,8,0.900000
2022-07-20,9,0.800000
2022-07-20,10,0.600000
2022-07-20,11,0.900000
2022-07-20,12,0.900000
2022-07-20,13,0.400000
2022-07-20,14,0.300000
2022-07-20,15,0.400000
2022-07-20,16,1.300000
2022-07-20,17,1.900000
2022-07-20,18,1.800000
2022-07-20,19,1.100000
2022-07-20,20,0.600000
2022-07-20,21,0.800000
2022-07-20,22,1.100000
2022-07-20,23,1.500000
2022-07-21,0,1.300000
2022-07-21,1,2.200000
2022-07-21,2,4.400000
2022-07-21,3,3.900000
2022-07-21,4,4.200000
2022-07-21,5,4.000000
2022-07-21,6,3.700000
2022-07-21,7,3.800000
2022-07-21,8,3.500000
2022-07-21,9,3.500000
2022-07-21,10,2.900000
2022-07-21,11,3.300000
2022-07-21,12,2.900000
2022-07-21,13,3.400000
2022-07-21,14,3.700000
2022-07-21,15,4.000000
2022-07-21,16,4.200000
2022-07-21,17,4.500000
2022-07-21,18,3.800000
2022-07-21,19,2.300000
2022-07-21,20,2.000000
2022-07-21,21,1.700000
2022-07-21,22,1.400000
2022-07-21,23,1.200000
2022-07-22,0,1.900000
2022-07-22,1,1.800000
2022-07-22,2,1.500000
2022-07-22,3,1.400000
2022-07-22,4,1.100000
2022-07-22,5,1.100000
2022-07-22,6,1.100000
2022-07-22,7,1.500000
2022-07-22,8,1.700000
