day,time,SV-2,SV-5,SV-6,SV-7,HV-NM1,HV-NM2,고압콘덴샤,신재생에너지동,대학B동,대학기숙사A동,제2학생회관,학사P/P,교원아파트,대학C동,중앙연구기기센터,대학A동,다산빌딩,산학협력연구동,신재생에너지동(E),대학B동(E),대학기숙사A동(E),학사P/P(E),제2학생회관(E),교원아파트(E),대학C동(E),중앙연구기기센터(E),대학A동(E),다산빌딩(E),산학협력연구동(E)
2022-07-06,0,2290.0,2287.0,0.0,2274.0,0.0,2261.0,681.0,949.0,275.0,157.0,69.0,59.0,78.0,193.0,310.0,43.0,550.0,0.0,99.0,38.0,39.0,36.0,34.0,26.0,29.0,46.0,15.0,53.0,17.0
2022-07-06,1,2231.0,2231.0,0.0,2212.0,0.0,2214.0,660.0,919.0,265.0,137.0,58.0,61.0,72.0,193.0,338.0,33.0,542.0,0.0,94.0,39.0,39.0,44.0,25.0,27.0,15.0,46.0,28.0,50.0,18.0
2022-07-06,2,2168.0,2168.0,0.0,2118.0,0.0,2133.0,680.0,921.0,237.0,130.0,50.0,55.0,61.0,193.0,309.0,33.0,529.0,0.0,90.0,39.0,35.0,44.0,21.0,22.0,15.0,46.0,28.0,44.0,17.0
2022-07-06,3,2124.0,2117.0,0.0,2080.0,0.0,2072.0,683.0,900.0,246.0,122.0,64.0,55.0,59.0,198.0,314.0,40.0,529.0,0.0,79.0,25.0,28.0,36.0,24.0,14.0,14.0,46.0,15.0,34.0,19.0
2022-07-06,4,2124.0,2133.0,0.0,2099.0,0.0,2095.0,700.0,884.0,242.0,120.0,67.0,61.0,52.0,201.0,311.0,36.0,513.0,0.0,80.0,23.0,34.0,35.0,23.0,14.0,14.0,46.0,14.0,34.0,18.0
2022-07-06,5,2141.0,2134.0,0.0,2119.0,0.0,2098.0,761.0,886.0,241.0,124.0,117.0,61.0,55.0,194.0,306.0,36.0,505.0,0.0,78.0,25.0,22.0,19.0,28.0,26.0,14.0,47.0,14.0,33.0,17.0
2022-07-06,6,2260.0,2265.0,0.0,2241.0,0.0,2243.0,718.0,885.0,269.0,124.0,161.0,66.0,68.0,187.0,327.0,70.0,517.0,0.0,84.0,35.0,30.0,20.0,33.0,35.0,16.0,47.0,26.0,38.0,20.0
2022-07-06,7,2321.0,2310.0,0.0,2307.0,0.0,2298.0,707.0,922.0,290.0,129.0,201.0,72.0,84.0,222.0,314.0,77.0,547.0,28.0,91.0,29.0,28.0,37.0,33.0,28.0,31.0,47.0,19.0,46.0,20.0
2022-07-06,8,2679.0,2666.0,0.0,2670.0,0.0,2686.0,704.0,1057.0,382.0,134.0,221.0,86.0,82.0,232.0,282.0,110.0,604.0,28.0,130.0,55.0,34.0,58.0,45.0,36.0,32.0,61.0,32.0,67.0,23.0
2022-07-06,9,2793.0,2790.0,0.0,2802.0,0.0,2801.0,732.0,1162.0,393.0,149.0,256.0,78.0,77.0,236.0,292.0,120.0,639.0,56.0,145.0,50.0,46.0,25.0,61.0,42.0,31.0,67.0,32.0,78.0,21.0
2022-07-06,10,2854.0,2865.0,0.0,2833.0,0.0,2827.0,775.0,1182.0,423.0,115.0,230.0,78.0,81.0,225.0,292.0,131.0,672.0,78.0,149.0,54.0,34.0,28.0,61.0,36.0,33.0,58.0,34.0,94.0,28.0
2022-07-06,11,2857.0,2852.0,0.0,2866.0,0.0,2886.0,731.0,1192.0,434.0,128.0,231.0,88.0,70.0,222.0,290.0,132.0,670.0,106.0,154.0,58.0,38.0,28.0,53.0,28.0,24.0,67.0,35.0,96.0,26.0
2022-07-06,12,2972.0,2977.0,0.0,2988.0,0.0,2977.0,777.0,1233.0,418.0,175.0,245.0,88.0,77.0,245.0,288.0,116.0,696.0,115.0,155.0,50.0,38.0,32.0,56.0,38.0,31.0,69.0,19.0,91.0,23.0
2022-07-06,13,3027.0,3028.0,0.0,3012.0,0.0,3001.0,834.0,1261.0,468.0,171.0,228.0,86.0,86.0,233.0,292.0,132.0,700.0,102.0,158.0,57.0,41.0,39.0,50.0,36.0,32.0,62.0,33.0,100.0,21.0
2022-07-06,14,3092.0,3086.0,0.0,3095.0,0.0,3087.0,791.0,1302.0,490.0,152.0,230.0,83.0,82.0,237.0,306.0,145.0,700.0,106.0,146.0,57.0,36.0,27.0,37.0,32.0,32.0,56.0,26.0,84.0,21.0
2022-07-06,15,3117.0,3116.0,0.0,3097.0,0.0,3099.0,805.0,1338.0,475.0,153.0,220.0,67.0,85.0,226.0,320.0,139.0,741.0,85.0,145.0,60.0,46.0,24.0,46.0,30.0,33.0,61.0,36.0,88.0,20.0
2022-07-06,16,3006.0,3005.0,0.0,2989.0,0.0,3005.0,838.0,1292.0,444.0,157.0,207.0,86.0,88.0,230.0,326.0,122.0,708.0,67.0,153.0,53.0,37.0,33.0,55.0,36.0,45.0,56.0,32.0,86.0,25.0
2022-07-06,17,2878.0,2890.0,0.0,2945.0,0.0,2934.0,764.0,1288.0,452.0,160.0,230.0,84.0,98.0,220.0,298.0,107.0,719.0,36.0,154.0,60.0,37.0,33.0,55.0,32.0,29.0,66.0,33.0,84.0,24.0
2022-07-06,18,2796.0,2789.0,0.0,2810.0,0.0,2797.0,702.0,1134.0,408.0,191.0,223.0,81.0,115.0,198.0,304.0,96.0,696.0,10.0,139.0,60.0,46.0,26.0,57.0,37.0,30.0,62.0,23.0,78.0,26.0
2022-07-06,19,2653.0,2649.0,0.0,2623.0,0.0,2653.0,681.0,1089.0,331.0,158.0,155.0,63.0,109.0,204.0,320.0,66.0,628.0,0.0,130.0,47.0,54.0,46.0,48.0,36.0,37.0,47.0,26.0,71.0,19.0
2022-07-06,20,2618.0,2618.0,0.0,2579.0,0.0,2587.0,668.0,1030.0,322.0,173.0,110.0,62.0,114.0,208.0,312.0,48.0,600.0,0.0,128.0,43.0,47.0,70.0,48.0,46.0,30.0,58.0,17.0,71.0,19.0
2022-07-06,21,2521.0,2526.0,0.0,2501.0,0.0,2514.0,668.0,1005.0,306.0,179.0,88.0,68.0,122.0,203.0,335.0,50.0,580.0,0.0,113.0,36.0,50.0,41.0,39.0,32.0,17.0,63.0,28.0,65.0,18.0
2022-07-06,22,2496.0,2480.0,0.0,2458.0,0.0,2442.0,696.0,989.0,306.0,192.0,67.0,68.0,119.0,197.0,338.0,46.0,572.0,0.0,110.0,48.0,41.0,48.0,31.0,46.0,16.0,50.0,30.0,59.0,16.0
2022-07-06,23,2404.0,2408.0,0.0,2371.0,0.0,2371.0,718.0,1002.0,286.0,187.0,69.0,63.0,117.0,184.0,313.0,39.0,552.0,0.0,107.0,37.0,35.0,61.0,22.0,29.0,16.0,58.0,16.0,58.0,19.0
