day,time,SV-2,SV-5,SV-6,SV-7,HV-NM1,HV-NM2,고압콘덴샤,신재생에너지동,대학B동,대학기숙사A동,제2학생회관,학사P/P,교원아파트,대학C동,중앙연구기기센터,대학A동,다산빌딩,산학협력연구동,신재생에너지동(E),대학B동(E),대학기숙사A동(E),학사P/P(E),제2학생회관(E),교원아파트(E),대학C동(E),중앙연구기기센터(E),대학A동(E),다산빌딩(E),산학협력연구동(E)
2022-07-23,0,2174.0,2165.0,0.0,2118.0,0.0,2106.0,689.0,915.0,221.0,132.0,69.0,63.0,58.0,186.0,309.0,31.0,504.0,0.0,95.0,40.0,36.0,37.0,23.0,25.0,27.0,50.0,24.0,49.0,18.0
2022-07-23,1,2094.0,2099.0,0.0,2072.0,0.0,2049.0,695.0,850.0,227.0,130.0,65.0,68.0,50.0,175.0,322.0,26.0,498.0,0.0,89.0,27.0,34.0,37.0,33.0,25.0,16.0,62.0,15.0,46.0,19.0
2022-07-23,2,2044.0,2056.0,0.0,2016.0,0.0,2013.0,682.0,866.0,225.0,120.0,62.0,62.0,42.0,179.0,340.0,27.0,505.0,0.0,80.0,27.0,35.0,48.0,22.0,26.0,16.0,49.0,15.0,37.0,18.0
2022-07-23,3,2002.0,1998.0,0.0,1967.0,0.0,1961.0,699.0,829.0,206.0,118.0,67.0,63.0,36.0,179.0,320.0,28.0,488.0,0.0,77.0,26.0,34.0,64.0,24.0,13.0,16.0,47.0,15.0,36.0,18.0
2022-07-23,4,2017.0,2023.0,0.0,2002.0,0.0,1958.0,710.0,823.0,212.0,102.0,66.0,65.0,35.0,182.0,311.0,25.0,496.0,0.0,82.0,23.0,32.0,38.0,24.0,23.0,16.0,48.0,12.0,36.0,18.0
2022-07-23,5,1975.0,1972.0,0.0,1938.0,0.0,1932.0,738.0,846.0,215.0,99.0,74.0,69.0,34.0,178.0,314.0,27.0,494.0,0.0,76.0,25.0,22.0,32.0,21.0,28.0,16.0,48.0,15.0,35.0,18.0
2022-07-23,6,1937.0,1946.0,0.0,1930.0,0.0,1934.0,771.0,819.0,203.0,103.0,104.0,72.0,39.0,170.0,307.0,30.0,491.0,0.0,84.0,25.0,18.0,25.0,24.0,24.0,15.0,47.0,15.0,43.0,19.0
2022-07-23,7,1960.0,1959.0,0.0,1942.0,0.0,1954.0,800.0,850.0,198.0,98.0,118.0,65.0,52.0,172.0,301.0,28.0,485.0,23.0,85.0,38.0,26.0,24.0,28.0,25.0,15.0,49.0,24.0,39.0,18.0
2022-07-23,8,2049.0,2036.0,0.0,2038.0,0.0,2042.0,800.0,832.0,235.0,98.0,191.0,66.0,53.0,169.0,259.0,30.0,487.0,58.0,85.0,27.0,29.0,25.0,28.0,33.0,23.0,56.0,15.0,39.0,18.0
2022-07-23,9,2111.0,2109.0,0.0,2151.0,0.0,2140.0,727.0,915.0,240.0,108.0,209.0,72.0,59.0,176.0,210.0,34.0,537.0,85.0,91.0,31.0,30.0,31.0,44.0,39.0,29.0,48.0,15.0,46.0,18.0
2022-07-23,10,2111.0,2120.0,0.0,2130.0,0.0,2118.0,797.0,893.0,257.0,120.0,176.0,72.0,62.0,178.0,250.0,37.0,536.0,77.0,98.0,41.0,33.0,21.0,34.0,50.0,15.0,48.0,15.0,57.0,18.0
2022-07-23,11,2103.0,2110.0,0.0,2144.0,0.0,2142.0,747.0,921.0,254.0,115.0,179.0,67.0,64.0,182.0,223.0,31.0,550.0,56.0,100.0,44.0,35.0,20.0,34.0,27.0,15.0,48.0,15.0,52.0,19.0
2022-07-23,12,2261.0,2244.0,0.0,2259.0,0.0,2260.0,734.0,953.0,269.0,127.0,203.0,67.0,64.0,175.0,270.0,30.0,559.0,51.0,103.0,29.0,41.0,25.0,43.0,37.0,15.0,49.0,12.0,52.0,18.0
2022-07-23,13,2261.0,2260.0,0.0,2260.0,0.0,2260.0,742.0,939.0,254.0,129.0,187.0,82.0,64.0,200.0,274.0,33.0,562.0,27.0,101.0,32.0,39.0,22.0,38.0,40.0,17.0,48.0,16.0,55.0,18.0
2022-07-23,14,2278.0,2281.0,0.0,2258.0,0.0,2254.0,763.0,968.0,262.0,137.0,181.0,80.0,62.0,197.0,271.0,33.0,589.0,33.0,120.0,42.0,32.0,24.0,32.0,31.0,30.0,49.0,15.0,63.0,18.0
2022-07-23,15,2353.0,2368.0,0.0,2362.0,0.0,2341.0,784.0,974.0,274.0,143.0,180.0,74.0,62.0,195.0,297.0,32.0,572.0,11.0,121.0,43.0,37.0,37.0,34.0,25.0,21.0,49.0,26.0,64.0,18.0
2022-07-23,16,2355.0,2360.0,0.0,2361.0,0.0,2350.0,839.0,943.0,259.0,148.0,184.0,73.0,62.0,195.0,347.0,35.0,575.0,0.0,107.0,42.0,34.0,22.0,32.0,29.0,19.0,61.0,27.0,65.0,18.0
2022-07-23,17,2358.0,2364.0,0.0,2333.0,0.0,2311.0,745.0,933.0,264.0,145.0,166.0,73.0,74.0,189.0,338.0,38.0,562.0,0.0,114.0,33.0,40.0,23.0,40.0,37.0,30.0,48.0,16.0,58.0,19.0
2022-07-23,18,2349.0,2346.0,0.0,2359.0,0.0,2333.0,754.0,955.0,240.0,139.0,146.0,79.0,81.0,187.0,337.0,32.0,562.0,0.0,110.0,41.0,38.0,24.0,38.0,29.0,17.0,48.0,16.0,68.0,18.0
2022-07-23,19,2287.0,2286.0,0.0,2246.0,0.0,2240.0,790.0,916.0,248.0,145.0,70.0,70.0,89.0,182.0,327.0,32.0,541.0,0.0,108.0,37.0,39.0,43.0,23.0,36.0,16.0,48.0,28.0,66.0,18.0
2022-07-23,20,2212.0,2214.0,0.0,2175.0,0.0,2180.0,726.0,914.0,240.0,130.0,69.0,71.0,86.0,182.0,320.0,35.0,539.0,0.0,109.0,38.0,61.0,40.0,23.0,34.0,17.0,61.0,15.0,68.0,18.0
2022-07-23,21,2197.0,2179.0,0.0,2177.0,0.0,2179.0,736.0,900.0,236.0,140.0,62.0,72.0,78.0,180.0,316.0,30.0,556.0,0.0,94.0,39.0,40.0,46.0,23.0,30.0,16.0,58.0,26.0,50.0,18.0
2022-07-23,22,2197.0,2176.0,0.0,2141.0,0.0,2126.0,733.0,905.0,235.0,144.0,59.0,67.0,72.0,186.0,343.0,31.0,556.0,0.0,98.0,33.0,38.0,43.0,34.0,35.0,16.0,48.0,15.0,55.0,18.0
2022-07-23,23,2161.0,2183.0,0.0,2114.0,0.0,2134.0,766.0,909.0,219.0,140.0,62.0,66.0,60.0,186.0,336.0,32.0,531.0,0.0,96.0,26.0,37.0,37.0,24.0,20.0,16.0,62.0,15.0,54.0,18.0
