day,time,SV-2,SV-5,SV-6,SV-7,HV-NM1,HV-NM2,고압콘덴샤,신재생에너지동,대학B동,대학기숙사A동,제2학생회관,학사P/P,교원아파트,대학C동,중앙연구기기센터,대학A동,다산빌딩,산학협력연구동,신재생에너지동(E),대학B동(E),대학기숙사A동(E),학사P/P(E),제2학생회관(E),교원아파트(E),대학C동(E),중앙연구기기센터(E),대학A동(E),다산빌딩(E),산학협력연구동(E)
2022-07-11,0,198.4,198.8,631.8,200.6,192.2,189.8,5.2,332.7,904.5,731.2,682.0,89.3,782.4,726.5,142.5,2207.6,932.6,38.5,838.4,786.4,716.1,759.0,426.4,317.2,934.3,147.6,22.6,643.8,183.2
2022-07-11,1,200.6,201.0,631.8,202.7,192.2,191.9,5.2,333.5,904.7,731.3,682.0,89.3,782.5,726.7,142.7,2207.6,933.1,38.5,838.5,786.4,716.2,759.0,426.5,317.3,934.3,147.6,22.6,643.8,183.2
2022-07-11,2,202.7,203.1,631.8,204.8,192.2,194.0,5.2,334.4,904.9,731.4,682.1,89.4,782.5,726.8,143.0,2207.6,933.5,38.5,838.6,786.4,716.2,759.1,426.5,317.3,934.4,147.7,22.6,643.9,183.2
2022-07-11,3,204.8,205.2,631.8,206.9,192.2,196.1,5.2,335.2,905.1,731.6,682.2,89.4,782.6,727.0,143.3,2207.7,934.0,38.5,838.7,786.4,716.2,759.1,426.5,317.3,934.4,147.7,22.6,643.9,183.2
2022-07-11,4,206.8,207.2,631.8,208.9,192.2,198.1,5.2,336.0,905.3,731.7,682.3,89.5,782.6,727.2,143.6,2207.7,934.4,38.5,838.7,786.5,716.2,759.1,426.5,317.3,934.4,147.7,22.7,644.0,183.2
2022-07-11,5,208.9,209.3,631.8,210.9,192.2,200.1,5.2,336.9,905.5,731.8,682.3,89.5,782.7,727.3,143.8,2207.7,934.9,38.5,838.8,786.5,716.2,759.2,426.5,317.3,934.4,147.8,22.7,644.0,183.2
2022-07-11,6,210.9,211.3,631.8,212.9,192.2,202.1,5.2,337.7,905.7,731.9,682.4,89.6,782.7,727.5,144.1,2207.7,935.4,38.5,838.9,786.5,716.3,759.2,426.6,317.3,934.4,147.8,22.7,644.0,183.2
2022-07-11,7,213.0,213.4,631.8,215.0,192.2,204.2,5.2,338.5,906.0,732.0,682.6,89.6,782.8,727.7,144.4,2207.8,935.8,38.5,839.0,786.5,716.3,759.2,426.6,317.3,934.5,147.9,22.7,644.1,183.2
2022-07-11,8,215.2,215.6,631.8,217.2,192.2,206.4,5.2,339.3,906.2,732.1,682.7,89.7,782.8,727.8,144.6,2207.8,936.3,38.5,839.1,786.6,716.3,759.2,426.6,317.4,934.5,147.9,22.7,644.1,183.3
2022-07-11,9,217.7,218.1,631.8,219.7,192.2,208.8,5.2,340.3,906.5,732.2,682.9,89.8,782.9,728.0,144.9,2207.9,936.8,38.5,839.2,786.6,716.3,759.3,426.6,317.4,934.5,148.0,22.7,644.2,183.3
