day,time,SV-2,SV-5,SV-6,SV-7,HV-NM1,HV-NM2,고압콘덴샤,신재생에너지동,대학B동,대학기숙사A동,제2학생회관,학사P/P,교원아파트,대학C동,중앙연구기기센터,대학A동,다산빌딩,산학협력연구동,신재생에너지동(E),대학B동(E),대학기숙사A동(E),학사P/P(E),제2학생회관(E),교원아파트(E),대학C동(E),중앙연구기기센터(E),대학A동(E),다산빌딩(E),산학협력연구동(E)
2022-07-05,0,2298.0,2274.0,0.0,2246.0,0.0,2260.0,699.0,975.0,254.0,163.0,68.0,52.0,88.0,193.0,325.0,40.0,541.0,0.0,97.0,40.0,38.0,67.0,23.0,25.0,22.0,50.0,15.0,57.0,18.0
2022-07-05,1,2218.0,2204.0,0.0,2192.0,0.0,2227.0,716.0,958.0,260.0,140.0,62.0,57.0,68.0,191.0,310.0,32.0,550.0,0.0,97.0,40.0,38.0,39.0,23.0,26.0,14.0,50.0,15.0,51.0,18.0
2022-07-05,2,2154.0,2167.0,0.0,2148.0,0.0,2132.0,722.0,911.0,249.0,134.0,62.0,50.0,58.0,194.0,301.0,33.0,517.0,0.0,85.0,38.0,36.0,41.0,25.0,25.0,14.0,50.0,15.0,43.0,18.0
2022-07-05,3,2070.0,2080.0,0.0,2042.0,0.0,2034.0,711.0,894.0,248.0,120.0,68.0,50.0,51.0,193.0,315.0,33.0,500.0,0.0,80.0,28.0,34.0,40.0,22.0,24.0,14.0,51.0,17.0,36.0,18.0
2022-07-05,4,2141.0,2144.0,0.0,2119.0,0.0,2128.0,714.0,949.0,242.0,130.0,70.0,55.0,50.0,188.0,332.0,28.0,512.0,0.0,85.0,38.0,31.0,38.0,22.0,14.0,14.0,51.0,13.0,42.0,18.0
2022-07-05,5,2184.0,2182.0,0.0,2138.0,0.0,2117.0,740.0,897.0,238.0,112.0,123.0,59.0,52.0,183.0,327.0,34.0,502.0,0.0,92.0,26.0,20.0,21.0,27.0,15.0,14.0,50.0,15.0,35.0,18.0
2022-07-05,6,2141.0,2156.0,0.0,2136.0,0.0,2131.0,720.0,905.0,268.0,114.0,186.0,64.0,60.0,177.0,326.0,66.0,509.0,0.0,81.0,39.0,26.0,33.0,32.0,23.0,14.0,50.0,28.0,38.0,22.0
2022-07-05,7,2296.0,2300.0,0.0,2296.0,0.0,2285.0,714.0,913.0,306.0,112.0,191.0,80.0,74.0,214.0,269.0,81.0,512.0,8.0,92.0,30.0,35.0,24.0,33.0,33.0,29.0,58.0,22.0,47.0,21.0
2022-07-05,8,2630.0,2627.0,0.0,2618.0,0.0,2605.0,693.0,1066.0,336.0,126.0,225.0,83.0,77.0,207.0,274.0,106.0,607.0,21.0,127.0,49.0,35.0,59.0,36.0,33.0,31.0,72.0,26.0,68.0,30.0
2022-07-05,9,2777.0,2760.0,0.0,2769.0,0.0,2772.0,680.0,1152.0,423.0,152.0,246.0,78.0,83.0,226.0,310.0,125.0,648.0,65.0,147.0,59.0,47.0,30.0,42.0,39.0,36.0,72.0,34.0,84.0,22.0
