day,time,신재생에너지동,대학B동,대학기숙사A동,제2학생회관,학사P/P,교원아파트,대학C동,중앙연구기기센터,대학A동,다산빌딩,산학협력연구동,신재생에너지동(E),대학B동(E),대학기숙사A동(E),학사P/P(E),제2학생회관(E),교원아파트(E),대학C동(E),중앙연구기기센터(E),대학A동(E),다산빌딩(E),산학협력연구동(E)
2022-08-29,0,835.4,190.9,166.1,61.3,62.0,53.3,199.8,323.1,28.3,495.5,0.0,101.1,21.7,41.1,43.1,24.0,24.1,16.5,52.1,11.3,43.0,19.5
2022-08-29,1,804.8,180.8,135.5,57.0,65.8,43.6,195.5,300.7,26.8,489.3,0.0,95.2,24.0,42.7,38.2,21.0,27.7,16.2,51.1,13.6,43.9,18.8
2022-08-29,2,821.3,181.6,101.7,52.8,61.5,37.9,184.5,294.7,26.7,496.9,0.0,82.3,21.3,34.7,36.3,19.6,14.8,30.8,50.4,11.2,36.4,18.5
2022-08-29,3,817.8,186.6,91.6,63.0,69.1,35.7,185.0,295.0,33.6,477.7,0.0,82.6,24.6,35.7,37.9,19.0,16.5,15.3,50.9,15.6,35.3,18.4
2022-08-29,4,796.2,190.5,88.3,59.6,67.2,33.6,192.9,316.3,32.2,477.7,0.0,75.1,20.8,22.2,63.3,19.1,14.9,15.2,51.2,11.1,33.9,20.1
2022-08-29,5,807.0,184.4,92.1,126.8,74.3,32.0,189.4,308.6,27.8,470.4,0.0,80.7,23.3,23.2,38.3,32.1,27.8,15.2,59.7,13.9,38.9,18.3
2022-08-29,6,777.4,176.5,82.1,145.1,71.9,44.5,182.3,293.8,28.2,457.5,0.0,82.4,26.1,32.0,21.1,30.6,29.1,14.7,62.3,14.6,41.5,24.9
2022-08-29,7,779.3,203.6,110.1,152.1,69.9,64.9,183.5,279.2,38.2,463.8,0.0,97.1,42.6,49.9,23.4,29.3,42.4,31.5,64.0,18.1,53.6,21.4
2022-08-29,8,846.5,276.7,124.9,192.1,72.1,58.6,199.1,333.8,87.5,497.5,0.2,115.5,54.6,54.2,42.6,45.0,42.4,36.1,66.3,35.7,61.5,23.0
2022-08-29,9,964.4,307.6,156.7,187.5,83.0,48.4,220.0,322.7,102.0,546.5,0.6,140.3,56.1,53.8,32.5,46.0,39.5,33.9,70.8,35.8,85.6,26.9
2022-08-29,10,994.3,341.2,156.7,185.3,65.9,44.3,229.7,303.5,113.4,581.4,3.3,150.4,66.1,46.8,23.2,48.4,29.9,38.3,60.0,36.1,88.7,28.2
2022-08-29,11,1019.9,339.5,140.6,193.7,66.3,42.6,227.7,322.0,106.5,566.4,0.0,152.2,67.9,59.8,22.8,49.2,57.7,23.4,74.1,33.1,93.8,28.2
2022-08-29,12,989.5,370.7,155.7,205.0,70.8,48.9,221.4,301.9,118.8,546.4,7.9,146.0,58.6,53.5,56.6,56.3,41.0,34.3,68.6,34.8,96.9,30.5
2022-08-29,13,1003.9,370.7,130.8,186.8,75.2,47.1,230.7,300.8,124.2,545.6,4.6,158.5,61.6,54.0,31.7,52.4,32.0,36.4,74.2,32.4,101.3,28.4
2022-08-29,14,1037.3,351.1,120.4,170.6,67.1,46.2,240.3,355.2,116.9,564.2,1.4,155.4,65.7,41.6,22.6,53.2,37.5,35.4,67.3,35.9,101.3,26.0
2022-08-29,15,1073.6,348.0,134.7,168.4,69.0,45.9,233.9,331.2,114.7,590.4,0.0,159.3,76.0,52.9,22.5,55.9,26.2,40.5,73.7,38.9,97.8,23.1
2022-08-29,16,1073.1,392.9,137.1,148.1,73.3,47.6,219.6,319.5,112.4,596.7,1.7,148.4,56.7,57.6,40.6,52.4,28.3,42.3,74.1,36.6,91.9,23.9
2022-08-29,17,1036.1,327.1,145.3,175.5,67.9,52.6,226.5,363.5,93.5,587.9,0.0,151.2,57.5,55.7,42.1,50.6,26.6,36.9,64.7,36.0,102.0,21.0
2022-08-29,18,987.6,277.4,154.9,196.3,61.3,63.3,219.2,290.8,61.2,564.7,0.0,142.1,46.6,54.4,22.0,49.5,40.1,33.1,61.2,29.1,77.8,21.0
2022-08-29,19,926.7,257.2,159.5,144.1,62.6,80.2,210.2,322.0,54.1,543.5,0.0,134.2,47.9,65.8,38.7,54.2,44.0,41.0,60.0,30.1,69.4,18.8
2022-08-29,20,952.4,226.4,165.9,104.5,62.9,80.2,207.6,293.6,46.1,545.3,0.0,127.6,44.9,46.0,45.6,46.7,38.6,32.9,53.9,13.9,67.0,20.7
2022-08-29,21,920.5,220.2,171.8,82.6,59.1,67.8,210.9,291.6,44.9,535.2,0.0,119.9,46.1,41.6,53.5,32.0,41.3,29.6,65.2,26.1,70.9,19.1
2022-08-29,22,902.2,222.5,169.3,65.6,60.8,65.6,194.5,281.8,41.6,546.6,0.0,123.6,40.2,41.3,53.5,36.8,33.0,18.9,52.9,25.0,66.9,21.0
2022-08-29,23,889.1,208.6,167.9,66.6,63.3,61.0,194.4,278.3,36.6,517.3,0.0,108.6,38.1,56.7,36.3,24.4,26.8,23.6,63.8,24.6,63.5,19.0
