day,time,SV-2,SV-5,SV-6,SV-7,HV-NM1,HV-NM2,고압콘덴샤,신재생에너지동,대학B동,대학기숙사A동,제2학생회관,학사P/P,교원아파트,대학C동,중앙연구기기센터,대학A동,다산빌딩,산학협력연구동,신재생에너지동(E),대학B동(E),대학기숙사A동(E),학사P/P(E),제2학생회관(E),교원아파트(E),대학C동(E),중앙연구기기센터(E),대학A동(E),다산빌딩(E),산학협력연구동(E)
2022-07-28,0,137.2,137.7,631.8,135.5,192.2,122.1,5.3,717.3,14.2,778.6,728.0,112.8,806.4,799.8,240.1,2224.0,152.7,42.9,880.6,798.5,724.9,769.5,437.0,324.2,941.3,167.3,28.5,666.2,187.9
2022-07-28,1,139.4,139.8,631.8,137.6,192.2,124.2,5.3,718.1,14.5,778.8,728.1,112.9,806.5,799.9,240.4,2224.1,153.2,42.9,880.7,798.5,724.9,769.6,437.0,324.2,941.3,167.4,28.5,666.2,187.9
2022-07-28,2,141.4,141.9,631.8,139.6,192.2,126.2,5.3,718.9,14.7,778.9,728.1,112.9,806.5,800.1,240.7,2224.1,153.7,42.9,880.8,798.6,724.9,769.6,437.0,324.2,941.3,167.4,28.5,666.2,187.9
2022-07-28,3,143.5,143.9,631.8,141.6,192.2,128.2,5.3,719.7,14.9,779.0,728.2,113.0,806.6,800.3,241.0,2224.1,154.2,42.9,880.9,798.6,724.9,769.6,437.0,324.2,941.4,167.5,28.5,666.3,187.9
2022-07-28,4,145.4,145.9,631.8,143.6,192.2,130.2,5.3,720.5,15.1,779.1,728.2,113.0,806.6,800.5,241.2,2224.1,154.7,42.9,880.9,798.6,725.0,769.7,437.0,324.2,941.4,167.5,28.5,666.3,188.0
2022-07-28,5,147.4,147.9,631.8,145.5,192.2,132.1,5.3,721.3,15.4,779.2,728.3,113.1,806.7,800.6,241.5,2224.2,155.1,42.9,881.0,798.6,725.0,769.7,437.1,324.3,941.4,167.6,28.5,666.4,188.0
2022-07-28,6,149.4,149.8,631.8,147.4,192.2,134.0,5.3,722.1,15.6,779.3,728.3,113.1,806.7,800.8,241.8,2224.2,155.6,42.9,881.1,798.7,725.0,769.7,437.1,324.3,941.4,167.6,28.5,666.4,188.0
2022-07-28,7,151.4,151.8,631.8,149.4,192.2,136.0,5.3,722.9,15.8,779.4,728.4,113.2,806.7,801.0,242.1,2224.2,156.1,42.9,881.2,798.7,725.0,769.7,437.1,324.3,941.4,167.7,28.5,666.4,188.0
2022-07-28,8,153.5,153.9,631.8,151.5,192.2,138.1,5.3,723.7,16.0,779.5,728.6,113.2,806.8,801.2,242.3,2224.2,156.6,42.9,881.2,798.7,725.0,769.7,437.1,324.3,941.4,167.7,28.6,666.5,188.0
2022-07-28,9,155.8,156.3,631.8,153.8,192.2,140.4,5.3,724.6,16.3,779.6,728.7,113.3,806.8,801.4,242.5,2224.3,157.1,42.9,881.3,798.7,725.0,769.8,437.2,324.3,941.4,167.8,28.6,666.5,188.0
