day,time,SV-2,SV-5,SV-6,SV-7,HV-NM1,HV-NM2,고압콘덴샤,신재생에너지동,대학B동,대학기숙사A동,제2학생회관,학사P/P,교원아파트,대학C동,중앙연구기기센터,대학A동,다산빌딩,산학협력연구동,신재생에너지동(E),대학B동(E),대학기숙사A동(E),학사P/P(E),제2학생회관(E),교원아파트(E),대학C동(E),중앙연구기기센터(E),대학A동(E),다산빌딩(E),산학협력연구동(E)
2022-08-03,0,2409.0,2408.0,0.0,2370.0,0.0,2365.0,733.0,958.0,303.0,167.0,60.0,77.0,81.0,202.0,328.0,37.0,549.0,0.0,102.0,28.0,51.0,42.0,27.0,29.0,19.0,47.0,18.0,55.0,18.0
2022-08-03,1,2364.0,2367.0,0.0,2310.0,0.0,2290.0,739.0,951.0,311.0,150.0,60.0,74.0,70.0,204.0,332.0,42.0,550.0,0.0,98.0,36.0,37.0,39.0,31.0,27.0,31.0,48.0,16.0,47.0,18.0
2022-08-03,2,2345.0,2350.0,0.0,2307.0,0.0,2301.0,722.0,957.0,299.0,138.0,54.0,66.0,63.0,198.0,358.0,43.0,530.0,0.0,94.0,27.0,33.0,38.0,28.0,21.0,31.0,47.0,14.0,46.0,17.0
2022-08-03,3,2262.0,2258.0,0.0,2236.0,0.0,2228.0,720.0,945.0,317.0,126.0,61.0,66.0,60.0,194.0,333.0,39.0,530.0,0.0,89.0,38.0,36.0,49.0,35.0,15.0,16.0,48.0,15.0,38.0,17.0
2022-08-03,4,2225.0,2220.0,0.0,2230.0,0.0,2254.0,739.0,948.0,305.0,123.0,63.0,72.0,56.0,200.0,333.0,48.0,529.0,0.0,82.0,27.0,36.0,36.0,25.0,16.0,16.0,47.0,14.0,37.0,17.0
2022-08-03,5,2270.0,2284.0,0.0,2236.0,0.0,2216.0,764.0,945.0,284.0,120.0,154.0,72.0,56.0,189.0,332.0,37.0,543.0,0.0,87.0,36.0,31.0,37.0,35.0,28.0,16.0,54.0,16.0,42.0,18.0
2022-08-03,6,2305.0,2310.0,0.0,2289.0,0.0,2266.0,764.0,920.0,277.0,112.0,197.0,67.0,60.0,187.0,326.0,39.0,518.0,0.0,109.0,38.0,21.0,22.0,40.0,28.0,16.0,46.0,28.0,42.0,19.0
2022-08-03,7,2447.0,2445.0,0.0,2432.0,0.0,2427.0,752.0,962.0,327.0,129.0,206.0,75.0,81.0,201.0,330.0,79.0,555.0,0.0,99.0,41.0,33.0,28.0,35.0,32.0,38.0,46.0,30.0,44.0,21.0
2022-08-03,8,2716.0,2699.0,0.0,2722.0,0.0,2712.0,717.0,1104.0,381.0,133.0,231.0,93.0,94.0,234.0,302.0,107.0,604.0,44.0,128.0,51.0,38.0,36.0,44.0,35.0,33.0,56.0,30.0,62.0,24.0
2022-08-03,9,2984.0,2984.0,0.0,2982.0,0.0,2975.0,742.0,1250.0,422.0,142.0,256.0,79.0,94.0,225.0,309.0,107.0,705.0,75.0,143.0,61.0,38.0,30.0,56.0,42.0,33.0,64.0,29.0,77.0,28.0
2022-08-03,10,3070.0,3063.0,0.0,3020.0,0.0,3032.0,730.0,1238.0,430.0,154.0,261.0,82.0,83.0,241.0,380.0,113.0,732.0,1.0,146.0,56.0,38.0,27.0,41.0,43.0,40.0,65.0,35.0,89.0,28.0
2022-08-03,11,2942.0,2953.0,0.0,2969.0,0.0,2974.0,756.0,1221.0,482.0,155.0,246.0,77.0,88.0,238.0,280.0,110.0,690.0,110.0,147.0,65.0,42.0,24.0,37.0,30.0,35.0,71.0,32.0,86.0,29.0
2022-08-03,12,3031.0,3037.0,0.0,3045.0,0.0,3006.0,748.0,1242.0,447.0,146.0,243.0,83.0,100.0,228.0,328.0,119.0,693.0,86.0,148.0,54.0,43.0,28.0,50.0,43.0,32.0,71.0,36.0,83.0,25.0
2022-08-03,13,3151.0,3129.0,0.0,3112.0,0.0,3099.0,741.0,1289.0,500.0,159.0,218.0,78.0,94.0,233.0,298.0,121.0,722.0,99.0,160.0,61.0,47.0,35.0,41.0,43.0,41.0,59.0,38.0,95.0,27.0
2022-08-03,14,3153.0,3137.0,0.0,3107.0,0.0,3096.0,717.0,1337.0,462.0,156.0,197.0,78.0,84.0,238.0,342.0,118.0,740.0,123.0,150.0,59.0,37.0,23.0,50.0,33.0,40.0,68.0,29.0,90.0,27.0
2022-08-03,15,3127.0,3145.0,0.0,3111.0,0.0,3097.0,702.0,1320.0,446.0,151.0,186.0,81.0,91.0,232.0,349.0,114.0,750.0,78.0,159.0,60.0,37.0,23.0,50.0,29.0,26.0,61.0,31.0,92.0,22.0
2022-08-03,16,3160.0,3153.0,0.0,3131.0,0.0,3121.0,718.0,1345.0,500.0,148.0,184.0,76.0,91.0,231.0,366.0,88.0,725.0,60.0,158.0,56.0,36.0,32.0,52.0,45.0,42.0,61.0,32.0,87.0,21.0
2022-08-03,17,3029.0,3030.0,0.0,3054.0,0.0,3027.0,718.0,1292.0,500.0,146.0,194.0,80.0,96.0,236.0,340.0,87.0,736.0,39.0,158.0,60.0,38.0,36.0,51.0,29.0,36.0,73.0,31.0,86.0,27.0
2022-08-03,18,3002.0,2999.0,0.0,2976.0,0.0,2920.0,728.0,1248.0,438.0,164.0,202.0,81.0,104.0,220.0,329.0,69.0,716.0,6.0,137.0,46.0,55.0,23.0,54.0,29.0,41.0,68.0,16.0,81.0,18.0
2022-08-03,19,2793.0,2782.0,0.0,2763.0,0.0,2801.0,719.0,1146.0,411.0,168.0,138.0,68.0,117.0,211.0,329.0,53.0,673.0,0.0,134.0,50.0,46.0,39.0,46.0,39.0,41.0,53.0,22.0,74.0,17.0
