day,time,SV-2,SV-5,SV-6,SV-7,HV-NM1,HV-NM2,고압콘덴샤,신재생에너지동,대학B동,대학기숙사A동,제2학생회관,학사P/P,교원아파트,대학C동,중앙연구기기센터,대학A동,다산빌딩,산학협력연구동,신재생에너지동(E),대학B동(E),대학기숙사A동(E),학사P/P(E),제2학생회관(E),교원아파트(E),대학C동(E),중앙연구기기센터(E),대학A동(E),다산빌딩(E),산학협력연구동(E)
2022-07-15,0,2240.0,2258.0,0.0,2237.0,0.0,2212.0,669.0,954.0,252.0,143.0,63.0,55.0,64.0,190.0,312.0,32.0,556.0,0.0,108.0,38.0,38.0,46.0,23.0,29.0,31.0,48.0,15.0,55.0,17.0
2022-07-15,1,2182.0,2184.0,0.0,2150.0,0.0,2137.0,696.0,925.0,240.0,135.0,60.0,60.0,60.0,201.0,308.0,32.0,528.0,0.0,92.0,33.0,38.0,41.0,32.0,22.0,29.0,47.0,16.0,47.0,18.0
2022-07-15,2,2149.0,2153.0,0.0,2112.0,0.0,2118.0,705.0,925.0,236.0,119.0,51.0,55.0,54.0,203.0,318.0,32.0,525.0,0.0,91.0,25.0,33.0,64.0,33.0,24.0,16.0,47.0,15.0,46.0,19.0
2022-07-15,3,2087.0,2103.0,0.0,2078.0,0.0,2073.0,700.0,887.0,219.0,115.0,60.0,55.0,49.0,183.0,341.0,30.0,514.0,0.0,80.0,32.0,33.0,36.0,22.0,24.0,16.0,47.0,24.0,35.0,17.0
2022-07-15,4,2098.0,2106.0,0.0,2060.0,0.0,2068.0,727.0,899.0,226.0,104.0,60.0,60.0,43.0,193.0,305.0,27.0,545.0,0.0,79.0,23.0,21.0,38.0,21.0,13.0,18.0,47.0,12.0,35.0,18.0
2022-07-15,5,2120.0,2116.0,0.0,2087.0,0.0,2070.0,792.0,896.0,227.0,124.0,118.0,63.0,43.0,190.0,308.0,32.0,504.0,0.0,88.0,25.0,20.0,21.0,28.0,24.0,30.0,58.0,15.0,44.0,17.0
2022-07-15,6,2109.0,2104.0,0.0,2097.0,0.0,2094.0,755.0,884.0,243.0,124.0,155.0,59.0,46.0,189.0,296.0,51.0,497.0,0.0,86.0,38.0,19.0,28.0,31.0,24.0,15.0,47.0,19.0,44.0,21.0
2022-07-15,7,2350.0,2351.0,0.0,2339.0,0.0,2322.0,751.0,958.0,285.0,113.0,207.0,62.0,66.0,197.0,291.0,76.0,551.0,10.0,104.0,39.0,39.0,24.0,33.0,43.0,22.0,48.0,19.0,53.0,21.0
2022-07-15,8,2571.0,2576.0,0.0,2570.0,0.0,2547.0,739.0,1084.0,354.0,122.0,241.0,80.0,66.0,220.0,245.0,90.0,601.0,38.0,124.0,46.0,42.0,34.0,52.0,43.0,32.0,60.0,31.0,63.0,29.0
2022-07-15,9,2738.0,2722.0,0.0,2783.0,0.0,2763.0,739.0,1207.0,417.0,134.0,245.0,85.0,70.0,209.0,242.0,121.0,671.0,62.0,143.0,67.0,35.0,27.0,54.0,32.0,33.0,68.0,32.0,84.0,29.0
