day,time,SV-2,SV-5,SV-6,SV-7,HV-NM1,HV-NM2,고압콘덴샤,신재생에너지동,대학B동,대학기숙사A동,제2학생회관,학사P/P,교원아파트,대학C동,중앙연구기기센터,대학A동,다산빌딩,산학협력연구동,신재생에너지동(E),대학B동(E),대학기숙사A동(E),학사P/P(E),제2학생회관(E),교원아파트(E),대학C동(E),중앙연구기기센터(E),대학A동(E),다산빌딩(E),산학협력연구동(E)
2022-08-14,0,144.9,145.4,631.8,138.0,192.2,121.9,5.5,130.0,140.0,830.0,773.8,138.2,834.9,878.9,344.1,2241.4,391.6,46.5,922.6,810.8,733.9,780.2,447.5,331.4,948.6,187.3,34.3,687.6,192.5
2022-08-14,1,147.2,147.7,631.8,140.2,192.2,124.1,5.5,130.9,140.3,830.1,773.9,138.3,835.0,879.1,344.4,2241.4,392.2,46.5,922.7,810.8,733.9,780.2,447.5,331.4,948.6,187.4,34.3,687.7,192.5
2022-08-14,2,149.4,149.9,631.8,142.4,192.2,126.2,5.5,131.8,140.5,830.3,773.9,138.3,835.0,879.3,344.7,2241.5,392.7,46.5,922.7,810.8,733.9,780.2,447.5,331.5,948.6,187.4,34.4,687.7,192.6
2022-08-14,3,151.6,152.0,631.8,144.5,192.2,128.4,5.5,132.7,140.8,830.4,774.0,138.4,835.1,879.5,344.9,2241.5,393.2,46.5,922.8,810.8,734.0,780.3,447.5,331.5,948.6,187.5,34.4,687.7,192.6
2022-08-14,4,153.7,154.2,631.8,146.7,192.2,130.5,5.5,133.6,141.0,830.5,774.0,138.5,835.1,879.7,345.2,2241.5,393.8,46.5,922.9,810.8,734.0,780.3,447.6,331.5,948.6,187.5,34.4,687.8,192.6
2022-08-14,5,155.9,156.3,631.8,148.8,192.2,132.6,5.5,134.5,141.2,830.6,774.1,138.5,835.2,879.9,345.5,2241.5,394.3,46.5,923.0,810.9,734.0,780.3,447.6,331.5,948.7,187.5,34.4,687.8,192.6
2022-08-14,6,158.0,158.5,631.8,150.9,192.2,134.7,5.5,135.4,141.5,830.7,774.1,138.6,835.2,880.1,345.7,2241.5,394.9,46.5,923.1,810.9,734.0,780.3,447.6,331.5,948.7,187.6,34.4,687.8,192.6
2022-08-14,7,160.1,160.6,631.8,152.9,192.2,136.8,5.5,136.3,141.7,830.8,774.2,138.6,835.3,880.3,346.0,2241.6,395.4,46.5,923.1,810.9,734.0,780.4,447.6,331.5,948.7,187.6,34.4,687.9,192.6
2022-08-14,8,162.2,162.7,631.8,155.0,192.2,138.9,5.5,137.2,141.9,830.9,774.3,138.7,835.3,880.5,346.2,2241.6,395.9,46.5,923.2,810.9,734.1,780.4,447.6,331.5,948.7,187.7,34.4,687.9,192.6
2022-08-14,9,164.4,164.8,631.8,157.2,192.2,141.0,5.5,138.1,142.2,831.0,774.4,138.8,835.4,880.6,346.5,2241.6,396.4,46.5,923.3,810.9,734.1,780.4,447.6,331.6,948.7,187.7,34.4,687.9,192.6
