day,time,SV-2,SV-5,SV-6,SV-7,HV-NM1,HV-NM2,고압콘덴샤,신재생에너지동,대학B동,대학기숙사A동,제2학생회관,학사P/P,교원아파트,대학C동,중앙연구기기센터,대학A동,다산빌딩,산학협력연구동,신재생에너지동(E),대학B동(E),대학기숙사A동(E),학사P/P(E),제2학생회관(E),교원아파트(E),대학C동(E),중앙연구기기센터(E),대학A동(E),다산빌딩(E),산학협력연구동(E)
2022-08-01,0,361.9,362.4,631.8,359.4,192.2,345.4,5.4,808.9,41.6,790.4,737.9,118.8,812.5,817.6,264.3,2227.2,206.1,43.9,889.9,801.3,726.9,772.0,439.3,325.8,942.9,171.9,29.8,670.9,188.9
2022-08-01,1,364.2,364.6,631.8,361.6,192.2,347.6,5.4,809.8,41.8,790.6,738.0,118.8,812.6,817.8,264.5,2227.2,206.7,43.9,890.0,801.3,726.9,772.1,439.3,325.9,942.9,171.9,29.8,670.9,189.0
2022-08-01,2,366.3,366.8,631.8,363.7,192.2,349.7,5.4,810.6,42.1,790.7,738.1,118.9,812.7,818.0,264.8,2227.3,207.2,43.9,890.1,801.3,727.0,772.1,439.3,325.9,943.0,172.0,29.8,670.9,189.0
2022-08-01,3,368.5,369.0,631.8,365.8,192.2,351.8,5.4,811.5,42.3,790.8,738.1,118.9,812.7,818.2,265.1,2227.3,207.7,43.9,890.2,801.3,727.0,772.1,439.3,325.9,943.0,172.0,29.8,671.0,189.0
2022-08-01,4,370.7,371.1,631.8,368.0,192.2,353.9,5.4,812.4,42.6,790.9,738.2,119.0,812.8,818.3,265.4,2227.3,208.2,43.9,890.3,801.4,727.0,772.2,439.3,325.9,943.0,172.1,29.8,671.0,189.0
2022-08-01,5,372.8,373.2,631.8,370.1,192.2,356.0,5.4,813.2,42.8,791.0,738.2,119.1,812.8,818.5,265.7,2227.3,208.7,43.9,890.3,801.4,727.0,772.2,439.4,325.9,943.0,172.1,29.8,671.0,189.0
2022-08-01,6,374.9,375.3,631.8,372.1,192.2,358.1,5.4,814.1,43.1,791.1,738.3,119.1,812.8,818.7,266.0,2227.3,209.2,43.9,890.4,801.4,727.1,772.2,439.4,325.9,943.0,172.2,29.8,671.1,189.0
2022-08-01,7,377.0,377.5,631.8,374.3,192.2,360.2,5.4,814.9,43.3,791.2,738.4,119.2,812.9,818.9,266.3,2227.4,209.7,43.9,890.5,801.4,727.1,772.2,439.4,325.9,943.0,172.2,29.8,671.1,189.0
2022-08-01,8,379.3,379.7,631.8,376.5,192.2,362.4,5.4,815.8,43.6,791.3,738.6,119.2,813.0,819.0,266.5,2227.4,210.2,43.9,890.6,801.5,727.1,772.3,439.4,326.0,943.1,172.3,29.9,671.1,189.0
2022-08-01,9,381.8,382.2,631.8,379.0,192.2,364.9,5.4,816.8,43.9,791.4,738.8,119.3,813.0,819.2,266.8,2227.5,210.8,43.9,890.7,801.5,727.1,772.3,439.5,326.0,943.1,172.3,29.9,671.2,189.0
2022-08-01,10,384.5,385.0,631.8,381.7,192.2,367.7,5.4,817.9,44.2,791.6,739.0,119.4,813.1,819.4,267.0,2227.5,211.4,44.0,890.8,801.5,727.1,772.3,439.5,326.0,943.1,172.4,29.9,671.2,189.1
2022-08-01,11,387.4,387.8,631.8,384.6,192.2,370.5,5.4,819.1,44.6,791.7,739.2,119.4,813.2,819.6,267.3,2227.6,212.0,44.0,890.9,801.6,727.2,772.3,439.5,326.0,943.1,172.4,29.9,671.3,189.1
2022-08-01,12,390.3,390.8,631.8,387.5,192.2,373.4,5.4,820.3,45.0,791.8,739.4,119.5,813.2,819.8,267.5,2227.7,212.7,44.0,891.0,801.6,727.2,772.3,439.6,326.0,943.1,172.5,29.9,671.4,189.1
2022-08-01,13,393.2,393.6,631.8,390.4,192.2,376.3,5.4,821.5,45.4,791.9,739.6,119.6,813.3,820.0,267.8,2227.8,213.3,44.0,891.2,801.6,727.2,772.4,439.6,326.1,943.1,172.5,29.9,671.5,189.1
2022-08-01,14,396.1,396.5,631.8,393.3,192.2,379.2,5.4,822.6,45.8,792.0,739.8,119.6,813.4,820.2,268.1,2227.8,214.0,44.0,891.3,801.7,727.2,772.4,439.6,326.1,943.2,172.6,30.0,671.5,189.1
2022-08-01,15,399.0,399.4,631.8,396.2,192.2,382.0,5.4,823.8,46.2,792.2,740.0,119.7,813.4,820.4,268.4,2227.9,214.6,44.0,891.4,801.7,727.2,772.4,439.7,326.1,943.2,172.6,30.0,671.6,189.1
2022-08-01,16,401.9,402.4,631.8,399.0,192.2,384.9,5.4,825.0,46.6,792.3,740.1,119.8,813.5,820.6,268.7,2228.0,215.3,44.0,891.6,801.8,727.3,772.4,439.7,326.1,943.2,172.7,30.0,671.7,189.1
2022-08-01,17,404.8,405.3,631.8,401.9,192.2,387.8,5.4,826.2,47.0,792.4,740.3,119.8,813.6,820.8,269.0,2228.1,215.9,44.0,891.7,801.8,727.3,772.5,439.7,326.1,943.2,172.7,30.0,671.8,189.2
2022-08-01,18,407.8,408.2,631.8,404.8,192.2,390.7,5.4,827.3,47.4,792.6,740.5,119.9,813.6,821.0,269.3,2228.1,216.5,44.0,891.9,801.8,727.3,772.5,439.8,326.2,943.2,172.8,30.0,671.9,189.2
2022-08-01,19,410.5,411.0,631.8,407.5,192.2,393.4,5.4,828.4,47.7,792.7,740.6,120.0,813.7,821.2,269.6,2228.2,217.1,44.0,892.0,801.9,727.3,772.5,439.8,326.2,943.3,172.8,30.0,671.9,189.2
2022-08-01,20,413.2,413.7,631.8,410.2,192.2,396.0,5.4,829.4,48.1,792.9,740.8,120.0,813.8,821.4,269.9,2228.2,217.7,44.0,892.1,801.9,727.4,772.5,439.9,326.2,943.3,172.9,30.1,672.0,189.2
2022-08-01,21,415.8,416.2,631.8,412.7,192.2,398.6,5.4,830.5,48.4,793.0,740.8,120.1,813.9,821.6,270.2,2228.3,218.3,44.0,892.2,802.0,727.4,772.6,439.9,326.2,943.3,172.9,30.1,672.1,189.2
2022-08-01,22,418.3,418.8,631.8,415.2,192.2,401.1,5.4,831.5,48.7,793.2,740.9,120.1,814.0,821.7,270.5,2228.3,218.9,44.0,892.3,802.0,727.4,772.6,439.9,326.2,943.3,173.0,30.1,672.1,189.2
2022-08-01,23,420.7,421.2,631.8,417.6,192.2,403.5,5.4,832.4,49.0,793.3,741.0,120.2,814.1,821.9,270.8,2228.3,219.5,44.0,892.4,802.0,727.4,772.6,439.9,326.3,943.3,173.0,30.1,672.2,189.2
