day,time,SV-2,SV-5,SV-6,SV-7,HV-NM1,HV-NM2,고압콘덴샤,신재생에너지동,대학B동,대학기숙사A동,제2학생회관,학사P/P,교원아파트,대학C동,중앙연구기기센터,대학A동,다산빌딩,산학협력연구동,신재생에너지동(E),대학B동(E),대학기숙사A동(E),학사P/P(E),제2학생회관(E),교원아파트(E),대학C동(E),중앙연구기기센터(E),대학A동(E),다산빌딩(E),산학협력연구동(E)
2022-08-11,0,2510.0,2500.0,0.0,2458.0,0.0,2453.0,710.0,1034.0,302.0,154.0,65.0,67.0,92.0,198.0,316.0,42.0,605.0,0.0,111.0,27.0,44.0,36.0,24.0,38.0,18.0,48.0,16.0,61.0,17.0
2022-08-11,1,2406.0,2395.0,0.0,2371.0,0.0,2351.0,696.0,1039.0,306.0,141.0,64.0,70.0,81.0,201.0,326.0,37.0,582.0,0.0,99.0,30.0,36.0,39.0,23.0,26.0,18.0,48.0,17.0,51.0,18.0
2022-08-11,2,2362.0,2364.0,0.0,2348.0,0.0,2375.0,718.0,1023.0,287.0,132.0,56.0,70.0,64.0,197.0,340.0,36.0,590.0,0.0,95.0,25.0,42.0,40.0,22.0,28.0,17.0,48.0,14.0,48.0,18.0
2022-08-11,3,2329.0,2322.0,0.0,2295.0,0.0,2281.0,752.0,1006.0,294.0,131.0,62.0,65.0,62.0,196.0,347.0,43.0,580.0,0.0,90.0,26.0,22.0,40.0,23.0,19.0,17.0,47.0,15.0,42.0,17.0
2022-08-11,4,2300.0,2298.0,0.0,2270.0,0.0,2266.0,749.0,1019.0,281.0,115.0,58.0,71.0,60.0,196.0,329.0,40.0,589.0,0.0,87.0,25.0,34.0,41.0,22.0,14.0,16.0,48.0,14.0,39.0,18.0
2022-08-11,5,2279.0,2280.0,0.0,2251.0,0.0,2252.0,741.0,984.0,275.0,111.0,132.0,71.0,62.0,195.0,324.0,42.0,581.0,0.0,93.0,40.0,23.0,42.0,28.0,22.0,17.0,47.0,27.0,47.0,18.0
2022-08-11,6,2344.0,2334.0,0.0,2318.0,0.0,2334.0,710.0,981.0,286.0,109.0,177.0,69.0,63.0,203.0,328.0,54.0,577.0,0.0,97.0,39.0,20.0,20.0,33.0,30.0,16.0,56.0,17.0,50.0,19.0
2022-08-11,7,2485.0,2493.0,0.0,2494.0,0.0,2486.0,708.0,1034.0,290.0,139.0,205.0,76.0,79.0,214.0,327.0,54.0,589.0,0.0,101.0,38.0,41.0,28.0,43.0,34.0,39.0,56.0,29.0,51.0,23.0
2022-08-11,8,2823.0,2811.0,0.0,2731.0,0.0,2755.0,681.0,1188.0,340.0,129.0,217.0,78.0,94.0,218.0,336.0,69.0,645.0,0.0,127.0,41.0,35.0,35.0,46.0,45.0,34.0,67.0,27.0,65.0,33.0
2022-08-11,9,3075.0,3066.0,0.0,2996.0,0.0,2998.0,687.0,1268.0,405.0,138.0,239.0,82.0,90.0,232.0,346.0,82.0,686.0,0.0,146.0,52.0,36.0,35.0,44.0,47.0,32.0,69.0,21.0,76.0,31.0
2022-08-11,10,3075.0,3068.0,0.0,3011.0,0.0,2996.0,695.0,1260.0,414.0,136.0,247.0,79.0,84.0,247.0,352.0,91.0,693.0,0.0,153.0,64.0,39.0,24.0,56.0,33.0,40.0,58.0,34.0,87.0,24.0
2022-08-11,11,3099.0,3101.0,0.0,3048.0,0.0,3050.0,688.0,1265.0,453.0,143.0,228.0,74.0,81.0,248.0,344.0,78.0,689.0,0.0,152.0,54.0,41.0,57.0,39.0,29.0,35.0,71.0,24.0,85.0,24.0
2022-08-11,12,3090.0,3092.0,0.0,3042.0,0.0,3062.0,711.0,1265.0,439.0,148.0,251.0,75.0,81.0,259.0,344.0,79.0,694.0,0.0,152.0,52.0,42.0,26.0,54.0,32.0,35.0,62.0,30.0,86.0,21.0
2022-08-11,13,3118.0,3136.0,0.0,3102.0,0.0,3078.0,686.0,1244.0,452.0,150.0,244.0,76.0,86.0,250.0,371.0,78.0,674.0,0.0,158.0,61.0,44.0,46.0,46.0,33.0,35.0,74.0,35.0,88.0,23.0
2022-08-11,14,3052.0,3047.0,0.0,3036.0,0.0,3025.0,704.0,1297.0,421.0,156.0,194.0,82.0,80.0,251.0,345.0,83.0,705.0,0.0,150.0,59.0,49.0,32.0,38.0,32.0,42.0,62.0,23.0,92.0,21.0
2022-08-11,15,3119.0,3138.0,0.0,3074.0,0.0,3039.0,666.0,1296.0,413.0,156.0,211.0,75.0,77.0,250.0,346.0,96.0,716.0,0.0,157.0,53.0,34.0,29.0,46.0,29.0,23.0,68.0,31.0,89.0,22.0
2022-08-11,16,3049.0,3046.0,0.0,3001.0,0.0,3029.0,683.0,1276.0,398.0,158.0,206.0,77.0,79.0,260.0,345.0,78.0,687.0,0.0,149.0,54.0,27.0,23.0,52.0,37.0,36.0,60.0,30.0,91.0,28.0
2022-08-11,17,3113.0,3110.0,0.0,3086.0,0.0,3072.0,688.0,1244.0,437.0,167.0,188.0,78.0,94.0,248.0,356.0,67.0,677.0,0.0,151.0,51.0,40.0,36.0,51.0,41.0,33.0,58.0,30.0,86.0,24.0
