day,time,수평면,외기온도,경사면,모듈온도,축구장,학생회관,중앙창고,학사과정,다산빌딩,시설관리동,대학C동,동물실험동,중앙도서관,LG도서관,신재생에너지동,삼성환경동,중앙연구기기센터,산업협력관,기숙사 B동
2022-07-11,0,0.0,25.3,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-11,1,0.0,24.6,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-11,2,0.0,25.4,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-11,3,0.0,25.2,0.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-11,4,0.0,24.6,0.0,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-11,5,0.0,24.6,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-11,6,1.0,24.2,1.0,23.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,-0.1
2022-07-11,7,7.0,23.9,7.0,23.0,0.0,0.1,0.0,0.0,-0.2,-0.3,0.2,0.0,0.0,0.0,0.6,0.0,0.0,1.0,0.0
2022-07-11,8,32.0,24.4,28.0,23.7,0.9,1.1,0.5,0.4,0.5,2.0,0.6,1.2,0.9,1.1,1.0,1.4,2.6,3.4,1.4
2022-07-11,9,214.0,26.8,209.0,28.3,27.1,9.0,5.7,4.9,6.5,21.8,2.9,7.7,5.8,7.7,13.3,11.4,20.8,22.1,9.4
2022-07-11,10,480.0,33.6,438.0,39.4,58.4,17.4,10.9,3.6,10.7,43.2,4.3,15.9,9.4,12.1,20.6,19.7,34.0,45.6,14.2
2022-07-11,11,486.0,39.6,445.0,42.1,43.4,17.4,12.4,7.6,19.2,43.9,7.1,19.1,13.7,19.6,33.5,36.2,60.3,55.0,27.9
2022-07-11,12,559.0,38.1,543.0,43.5,91.1,28.5,12.3,8.4,12.4,54.3,5.7,22.9,14.2,15.4,24.8,22.0,40.9,81.1,34.8
2022-07-11,13,421.0,46.3,388.0,47.9,36.6,13.9,9.3,4.3,11.1,36.6,6.7,10.7,23.3,33.0,24.5,18.1,37.6,31.2,17.6
2022-07-11,14,392.0,41.5,396.0,42.5,47.8,14.9,9.3,4.6,13.1,39.4,5.1,14.4,12.3,20.4,24.9,23.2,40.8,42.4,18.7
2022-07-11,15,227.0,35.6,198.0,38.8,17.5,7.7,4.4,2.0,5.2,18.1,2.7,6.0,5.5,7.4,12.2,9.7,18.1,17.1,8.2
2022-07-11,16,87.0,34.2,77.0,31.3,5.8,2.8,1.5,0.4,1.8,6.0,1.1,2.3,2.0,2.6,4.6,3.6,6.5,6.7,3.0
2022-07-11,17,147.0,35.1,246.0,33.8,25.8,10.4,4.6,1.9,7.3,25.6,2.8,7.7,5.9,7.6,13.0,11.7,21.2,21.6,8.8
2022-07-11,18,171.0,35.3,167.0,38.9,27.5,8.3,3.7,2.7,7.7,23.3,3.5,9.4,6.7,8.6,16.2,13.5,26.5,27.2,12.3
2022-07-11,19,37.0,29.7,36.0,28.4,1.6,1.2,0.4,0.0,0.7,2.2,0.7,1.4,1.0,1.2,2.2,1.9,3.4,4.0,1.6
2022-07-11,20,0.0,27.3,0.0,25.8,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-11,21,0.0,26.6,0.0,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-11,22,0.0,26.8,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-11,23,0.0,27.1,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
