day,time,수평면,외기온도,경사면,모듈온도,축구장,학생회관,중앙창고,학사과정,다산빌딩,시설관리동,대학C동,동물실험동,중앙도서관,LG도서관,신재생에너지동,삼성환경동,중앙연구기기센터,산업협력관,기숙사 B동
2022-08-10,0,0.0,28.2,0.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-10,1,0.0,28.0,0.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-10,2,0.0,27.9,0.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-10,3,0.0,27.4,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-10,4,0.0,27.6,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-10,5,0.0,27.9,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-10,6,0.0,27.9,0.0,25.7,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-10,7,37.0,28.0,36.0,26.8,1.3,1.2,0.5,0.0,0.7,1.3,0.6,1.3,0.9,1.1,1.0,1.7,3.0,3.8,1.4
2022-08-10,8,90.0,30.3,90.0,31.1,6.0,3.4,1.9,1.5,2.4,5.3,1.2,3.2,2.2,3.0,5.4,4.5,8.1,8.9,3.5
2022-08-10,9,114.0,30.6,113.0,31.1,8.5,4.4,2.5,2.4,3.4,7.1,1.6,4.5,2.9,3.9,7.2,6.1,11.2,13.0,5.0
2022-08-10,10,181.0,33.3,172.0,34.1,12.8,6.9,4.0,3.2,4.7,11.6,2.1,5.6,4.4,5.8,9.8,8.6,15.2,15.6,6.3
2022-08-10,11,390.0,36.1,380.0,40.8,30.3,15.1,9.5,8.4,12.6,27.3,4.9,14.4,10.2,14.2,24.3,21.3,40.6,35.0,15.1
2022-08-10,12,495.0,38.0,477.0,40.8,41.7,17.6,11.8,11.9,15.8,33.9,5.0,18.7,12.2,16.0,26.5,26.4,49.1,53.9,21.9
2022-08-10,13,326.0,37.6,306.0,40.8,21.4,12.0,7.3,6.9,9.3,21.0,4.0,10.3,8.2,11.2,18.7,16.0,29.6,28.8,12.8
2022-08-10,14,219.0,34.3,210.0,35.5,14.3,8.1,4.7,3.6,5.5,14.0,2.5,6.3,5.2,6.9,11.3,9.8,17.3,17.4,7.1
2022-08-10,15,225.0,34.2,217.0,35.5,15.7,8.5,5.2,4.8,6.6,14.8,2.9,7.6,5.8,7.9,13.3,11.4,21.0,21.5,9.2
2022-08-10,16,164.0,33.0,157.0,34.0,10.8,6.1,3.6,3.3,4.5,10.2,2.1,5.5,4.2,5.7,9.6,8.2,15.0,15.4,6.6
2022-08-10,17,65.0,31.5,59.0,31.3,2.3,2.1,1.1,1.0,1.2,2.8,1.0,1.9,1.6,2.1,3.8,2.8,5.1,5.2,2.3
2022-08-10,18,102.0,31.4,97.0,31.3,6.3,3.7,2.0,1.9,2.5,5.9,1.4,3.4,2.5,3.4,6.1,5.0,9.2,9.7,4.1
2022-08-10,19,0.0,29.5,0.0,28.5,0.0,0.0,0.0,0.0,-0.3,-0.6,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.1
2022-08-10,20,0.0,29.5,0.0,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-10,21,0.0,28.2,0.0,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-10,22,0.0,28.2,0.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-10,23,0.0,27.1,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
