day,time,수평면,외기온도,경사면,모듈온도,축구장,학생회관,중앙창고,학사과정,다산빌딩,시설관리동,대학C동,동물실험동,중앙도서관,LG도서관,신재생에너지동,삼성환경동,중앙연구기기센터,산업협력관,기숙사 B동
2022-08-02,0,0.0,27.4,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-02,1,0.0,28.0,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-02,2,0.0,25.6,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-02,3,0.0,26.0,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-02,4,0.0,26.0,0.0,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-02,5,0.0,25.9,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-02,6,0.0,25.8,0.0,24.4,0.0,0.0,0.0,0.0,-0.2,0.0,0.3,0.0,-0.0,0.0,0.0,0.0,0.0,0.1,-0.0
2022-08-02,7,50.0,27.1,47.0,25.6,2.5,1.8,0.9,0.8,0.9,3.7,0.8,1.7,1.2,1.6,3.2,2.4,4.3,4.8,2.0
2022-08-02,8,38.0,28.0,37.0,26.6,2.7,1.3,0.6,0.6,0.6,2.4,0.7,1.6,0.9,1.2,2.7,2.0,3.6,5.4,1.9
2022-08-02,9,254.0,33.1,236.0,33.9,21.5,9.9,6.4,7.1,8.2,23.0,3.4,11.2,6.4,9.1,20.0,15.3,37.8,28.7,12.6
2022-08-02,10,830.0,36.8,771.0,39.3,37.1,30.4,21.8,4.2,11.8,77.4,2.5,9.3,19.0,15.8,32.8,35.3,61.5,58.9,9.1
2022-08-02,11,527.0,38.4,544.0,41.5,24.2,16.0,13.8,14.3,13.2,37.6,4.5,15.7,9.3,12.4,26.5,26.0,46.6,52.4,28.1
2022-08-02,12,298.0,35.4,293.0,36.8,21.9,11.7,7.3,6.6,9.6,20.7,3.9,10.7,8.0,10.9,18.3,16.1,29.5,30.7,12.9
2022-08-02,13,281.0,37.9,252.0,37.2,16.2,10.0,6.2,6.2,7.3,17.3,3.5,8.0,7.2,9.7,15.6,12.7,24.3,22.1,10.8
2022-08-02,14,949.0,42.6,1044.0,47.7,82.6,37.6,17.7,14.7,20.7,62.6,6.6,22.0,29.9,34.6,37.5,54.0,67.0,99.2,35.6
2022-08-02,15,281.0,39.3,294.0,41.0,66.6,11.1,6.4,5.7,9.6,20.7,3.5,11.8,7.4,9.8,17.0,15.9,28.8,33.4,12.4
2022-08-02,16,270.0,35.2,263.0,35.4,18.1,10.1,6.1,6.2,8.2,18.5,3.6,9.1,7.8,10.6,16.0,13.8,25.8,25.7,12.4
2022-08-02,17,136.0,34.2,126.0,33.7,8.0,5.0,2.5,2.7,3.8,8.3,1.8,4.7,3.6,4.6,8.3,6.9,12.7,13.3,0.4
2022-08-02,18,299.0,39.4,324.0,41.0,17.1,8.4,3.5,6.0,9.4,21.0,3.9,11.1,9.0,8.9,18.7,16.6,32.1,31.8,13.7
2022-08-02,19,24.0,30.9,24.0,28.5,0.6,0.8,0.1,0.0,0.5,1.2,0.6,1.3,0.9,0.9,0.9,1.6,1.4,3.1,1.4
2022-08-02,20,0.0,27.8,0.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-02,21,0.0,27.1,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-02,22,0.0,25.9,0.0,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-02,23,0.0,26.4,0.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
