day,time,중앙P/P,전기전자컴퓨터공학동,신소재공학,생명과학동,기계공학동,LG도서관,창업B동,금호관,"냉각수순환펌프1,2,3","냉각수순환펌프4,5,6",기혼자아파트E동,기숙사9동,고등광/극초단,신소재공학동(E),전기전자컴퓨터공학동(E),생명과학동(E),기계공학동(E),LG도서관(E),중앙P/P(E),고등광연구소(E)
2022-07-09,0,143.4,378.4,398.4,429.7,122.6,246.7,30.5,50.7,0.0,0.0,342.4,65.8,778.8,33.5,118.2,97.6,14.4,42.8,77.5,52.7
2022-07-09,1,168.5,381.7,388.7,464.9,117.4,240.0,29.0,50.3,0.0,0.0,319.8,56.8,770.9,27.7,113.2,102.1,0.0,36.1,87.1,51.7
2022-07-09,2,122.9,375.1,385.8,411.8,114.4,229.6,27.3,49.4,0.0,0.0,281.8,49.2,754.2,27.2,113.5,101.6,0.0,37.0,65.7,51.0
2022-07-09,3,128.2,376.1,385.8,428.4,114.0,203.9,29.6,50.3,0.0,0.0,271.2,41.6,767.9,27.4,111.5,102.4,0.0,34.5,63.7,49.2
2022-07-09,4,147.4,372.2,382.9,413.2,115.6,196.8,18.7,50.7,0.0,0.0,255.8,40.5,775.4,27.3,110.3,97.4,0.0,34.2,61.2,49.5
2022-07-09,5,94.7,368.2,382.8,398.9,118.5,219.5,29.4,51.4,0.0,0.0,258.8,39.7,813.8,27.6,110.5,99.8,12.6,33.1,74.5,47.1
2022-07-09,6,93.6,369.8,377.0,463.4,114.8,244.7,18.7,51.2,0.0,0.0,254.4,36.4,818.0,27.1,115.8,98.6,0.0,33.6,56.4,55.4
2022-07-09,7,85.0,371.5,392.5,415.5,119.9,248.8,34.8,50.2,0.0,0.0,254.6,38.1,751.0,27.2,110.5,106.3,0.0,36.8,66.9,59.0
2022-07-09,8,74.4,380.5,390.8,428.1,120.3,251.7,33.5,50.8,0.0,0.0,272.9,42.0,754.0,32.1,112.4,120.6,0.0,54.7,76.8,66.5
2022-07-09,9,10.1,377.5,397.5,507.6,144.3,281.1,28.9,51.2,0.0,0.0,307.4,47.7,746.2,39.7,120.6,120.1,0.0,56.6,71.5,69.5
2022-07-09,10,60.2,390.7,410.6,504.6,139.3,268.9,43.1,51.5,0.0,0.0,310.3,44.9,805.5,38.7,123.1,119.4,14.2,59.0,83.5,67.6
2022-07-09,11,62.4,401.9,419.3,473.0,134.0,274.3,30.8,52.3,0.0,0.0,324.0,68.3,820.4,36.9,121.2,121.8,0.0,60.4,81.6,70.5
2022-07-09,12,35.8,399.7,423.8,490.7,137.8,282.0,30.3,53.3,0.0,0.0,345.7,53.3,814.8,36.5,123.2,122.0,9.8,57.2,89.7,69.6
2022-07-09,13,51.7,420.4,436.1,464.5,140.0,288.5,22.4,53.5,0.0,0.0,283.2,55.9,784.9,37.2,123.3,123.7,7.1,72.3,79.3,58.2
2022-07-09,14,60.4,418.1,444.6,537.9,155.3,277.4,31.4,53.7,0.0,0.0,255.4,55.4,795.5,38.0,126.9,127.4,15.9,70.3,79.6,64.8
2022-07-09,15,71.9,446.8,450.9,451.0,155.9,277.8,40.5,55.4,0.0,0.0,290.8,55.1,803.7,39.2,126.1,122.8,15.5,69.9,87.7,65.0
2022-07-09,16,71.4,435.5,444.5,452.7,150.8,282.9,33.3,54.0,0.0,0.0,288.8,57.0,791.0,45.1,127.5,123.7,3.2,63.6,81.9,59.3
2022-07-09,17,121.3,426.3,437.9,476.6,145.8,292.5,30.7,53.5,0.0,0.0,296.2,59.6,788.0,38.6,127.1,123.6,6.3,70.2,79.5,61.3
2022-07-09,18,121.1,431.9,441.7,567.8,138.5,319.5,30.6,50.7,0.0,0.0,317.2,58.8,789.2,39.7,133.5,121.2,15.3,65.8,85.1,55.9
2022-07-09,19,170.2,422.8,428.0,512.3,137.9,315.7,43.3,56.7,0.0,0.0,330.3,63.3,813.2,36.1,121.2,113.7,15.1,61.9,82.7,56.0
2022-07-09,20,175.5,415.7,426.7,516.3,135.4,299.7,28.8,51.0,0.0,0.0,335.3,59.1,806.3,32.3,122.8,108.3,15.4,54.9,93.1,56.7
2022-07-09,21,179.2,394.7,410.5,548.6,131.0,285.0,29.3,49.1,0.0,0.0,323.1,62.0,794.7,33.1,122.0,104.0,6.3,54.4,91.6,53.4
2022-07-09,22,166.9,394.5,415.8,490.4,128.3,296.8,30.3,49.0,0.0,0.0,325.3,62.3,789.2,32.7,121.3,102.6,6.3,42.1,92.6,53.5
2022-07-09,23,145.0,390.3,409.0,475.8,126.5,275.7,19.9,48.4,0.0,0.0,328.3,61.1,808.2,27.1,113.6,97.6,6.0,40.8,78.6,53.2
