day,time,신재생에너지동,대학B동,대학기숙사A동,제2학생회관,학사P/P,교원아파트,대학C동,중앙연구기기센터,대학A동,다산빌딩,산학협력연구동,신재생에너지동(E),대학B동(E),대학기숙사A동(E),학사P/P(E),제2학생회관(E),교원아파트(E),대학C동(E),중앙연구기기센터(E),대학A동(E),다산빌딩(E),산학협력연구동(E)
2022-08-19,0,931.4,238.9,123.9,63.3,68.9,58.1,205.0,309.7,33.7,562.6,0.0,115.0,36.5,39.9,59.5,26.7,23.3,23.8,49.7,22.6,66.6,18.1
2022-08-19,1,908.3,243.7,124.0,62.1,68.6,48.7,205.4,303.9,29.7,554.8,0.0,109.1,27.6,34.3,38.4,32.4,23.6,17.8,49.5,15.6,53.8,17.9
2022-08-19,2,904.8,241.7,119.7,56.8,62.8,45.6,206.6,325.9,30.5,536.5,0.0,102.0,29.1,37.9,40.3,32.3,16.9,17.7,47.6,17.6,53.4,17.9
2022-08-19,3,917.5,237.0,105.2,63.6,63.7,40.5,207.5,326.8,33.1,545.2,0.0,93.7,39.5,33.2,50.4,26.4,13.7,17.2,47.4,14.8,46.5,17.8
2022-08-19,4,878.7,222.0,101.1,65.3,63.4,39.5,202.5,305.8,29.9,537.3,0.0,86.7,24.1,23.6,38.9,24.9,13.5,17.1,48.3,13.8,39.4,17.7
2022-08-19,5,869.2,222.2,106.7,122.0,66.8,36.5,206.4,303.5,27.0,539.2,0.0,88.2,26.5,21.7,38.3,30.2,25.7,16.3,47.3,14.8,42.4,17.6
2022-08-19,6,907.4,233.6,97.7,133.6,65.3,42.2,200.0,302.2,33.4,531.4,0.0,90.5,36.7,19.1,21.0,34.5,24.2,17.6,47.5,16.9,40.2,20.9
2022-08-19,7,898.0,264.3,111.1,154.4,65.8,56.4,215.4,285.3,46.4,531.3,0.0,98.7,36.0,26.3,28.8,35.5,28.7,36.0,49.1,18.5,51.8,20.9
2022-08-19,8,1026.5,301.0,110.5,180.5,83.9,62.9,220.7,264.0,67.7,568.7,18.7,124.4,45.6,38.0,39.0,34.1,40.4,32.6,62.2,28.3,70.0,22.5
2022-08-19,9,1097.0,366.6,132.9,231.5,80.9,65.4,228.1,279.7,81.7,636.1,28.3,149.0,50.5,36.7,25.5,38.8,37.4,33.8,64.3,21.1,82.6,26.4
2022-08-19,10,1156.7,366.5,135.0,220.0,81.5,51.2,224.8,303.4,85.0,699.9,84.3,155.6,55.2,41.3,28.7,42.9,30.4,33.9,70.2,33.3,92.4,28.8
2022-08-19,11,1204.9,389.1,137.8,243.7,79.2,58.4,233.2,243.1,80.5,727.4,92.3,162.2,54.1,36.7,26.7,52.6,41.3,38.2,67.1,31.7,88.2,20.7
2022-08-19,12,1193.9,383.8,161.0,238.6,76.6,65.5,229.9,285.4,78.0,721.5,76.0,161.2,47.9,34.2,50.3,53.4,32.2,19.6,69.2,20.9,100.2,25.2
2022-08-19,13,1236.7,415.0,161.4,234.3,81.8,69.4,236.3,226.5,89.1,744.0,85.2,155.8,61.2,41.1,30.1,44.6,29.0,34.2,68.3,31.4,94.4,30.6
2022-08-19,14,1246.6,410.4,162.7,234.9,84.2,60.2,234.6,286.9,76.1,722.6,73.8,163.8,59.6,35.6,28.1,46.8,27.7,47.8,63.8,32.0,94.2,29.6
2022-08-19,15,1289.8,397.1,164.6,241.1,76.5,58.3,233.4,273.1,75.1,723.9,69.0,155.6,53.1,37.9,22.7,37.4,33.6,32.1,68.7,34.9,95.6,22.3
2022-08-19,16,1288.0,447.7,159.2,229.8,76.3,65.4,231.9,336.8,72.7,735.2,17.1,157.8,51.1,38.1,39.8,35.1,32.6,38.6,58.4,18.6,92.7,21.6
2022-08-19,17,1211.1,420.2,155.7,212.2,76.1,68.6,228.1,373.1,82.2,696.1,1.3,154.2,51.1,37.1,25.0,47.6,29.9,33.8,69.4,33.3,88.6,23.0
2022-08-19,18,1140.4,343.7,158.7,199.8,80.0,80.6,225.8,377.9,58.8,675.2,0.0,148.2,45.1,38.3,23.6,54.6,29.9,31.8,51.3,29.4,87.9,20.1
2022-08-19,19,1080.4,330.7,163.9,139.8,68.0,94.6,212.6,314.1,52.1,671.1,0.0,125.4,46.8,40.4,44.4,51.6,36.8,33.7,49.1,30.4,71.0,18.9
2022-08-19,20,1039.4,307.8,162.0,94.9,66.8,94.6,208.4,303.0,43.3,617.6,0.0,123.8,45.8,37.8,43.9,53.7,34.8,31.6,48.8,30.1,68.6,18.6
2022-08-19,21,1040.1,291.1,160.6,84.5,74.4,84.9,207.7,312.6,41.5,619.2,0.0,122.9,42.2,38.3,50.1,29.7,27.8,18.6,63.4,27.4,63.6,18.9
2022-08-19,22,1018.6,294.5,172.6,57.5,75.9,84.3,204.3,273.8,37.6,607.3,0.0,114.5,41.2,52.1,40.0,22.8,36.3,29.5,48.9,26.0,64.1,19.8
2022-08-19,23,1004.5,285.0,172.6,67.9,67.4,75.8,206.7,302.3,35.4,588.3,0.0,115.7,31.1,31.5,37.0,23.6,19.2,16.6,48.7,16.7,63.8,19.3
