day,time,신재생에너지동,대학B동,대학기숙사A동,제2학생회관,학사P/P,교원아파트,대학C동,중앙연구기기센터,대학A동,다산빌딩,산학협력연구동,신재생에너지동(E),대학B동(E),대학기숙사A동(E),학사P/P(E),제2학생회관(E),교원아파트(E),대학C동(E),중앙연구기기센터(E),대학A동(E),다산빌딩(E),산학협력연구동(E)
2022-08-28,0,808.5,173.2,135.1,64.6,66.8,49.4,190.8,296.6,24.5,488.9,0.0,92.1,22.3,55.3,37.3,24.4,14.0,15.2,51.6,11.0,50.4,18.8
2022-08-28,1,791.4,176.1,126.9,62.9,67.5,39.7,186.3,296.6,26.4,483.8,0.0,89.3,30.8,38.6,37.7,17.6,14.5,15.2,51.0,12.4,48.1,18.7
2022-08-28,2,784.8,165.3,111.5,58.9,60.8,36.7,193.0,297.5,25.2,484.4,0.0,89.0,21.2,33.7,37.8,21.1,16.0,15.3,51.4,10.8,49.2,19.1
2022-08-28,3,790.5,160.9,91.8,63.9,63.9,35.1,188.0,298.2,26.3,469.7,0.0,87.6,22.9,35.3,37.0,20.0,26.0,15.2,51.9,13.3,47.3,18.9
2022-08-28,4,771.0,157.1,87.4,65.3,62.4,33.4,196.0,316.1,23.9,467.2,0.0,82.4,20.6,21.6,53.4,17.4,12.5,15.2,51.7,10.8,41.9,18.6
2022-08-28,5,759.6,163.4,81.9,58.7,63.2,35.3,185.7,284.3,25.7,462.7,0.0,75.6,22.8,21.1,39.4,19.4,13.2,15.1,51.1,13.1,33.7,18.6
2022-08-28,6,791.8,164.2,80.8,71.6,65.0,32.2,190.9,287.7,25.4,473.5,0.0,75.1,20.0,25.5,22.2,19.7,25.3,15.3,50.8,10.5,34.6,20.2
2022-08-28,7,753.6,203.8,92.7,84.3,61.1,37.0,182.5,258.4,25.5,458.9,7.5,76.6,22.8,31.4,22.3,19.0,31.5,15.1,50.8,12.9,38.2,19.7
2022-08-28,8,759.9,165.3,91.0,86.0,58.4,44.2,184.5,225.1,31.0,472.0,58.9,77.1,22.7,40.2,23.1,26.6,33.8,15.3,50.9,12.4,35.3,21.3
2022-08-28,9,788.3,180.5,89.6,122.9,63.2,51.8,189.5,149.9,33.8,492.5,92.2,81.8,35.7,33.6,19.0,36.7,28.1,15.3,51.8,12.4,45.1,19.2
2022-08-28,10,848.0,202.3,99.2,100.7,69.6,53.0,195.9,137.9,32.7,511.2,104.9,92.0,34.3,47.0,35.4,18.5,38.1,16.0,52.0,10.9,47.6,18.6
2022-08-28,11,855.8,223.4,108.8,99.4,69.2,57.0,182.8,156.2,36.8,531.7,116.4,91.6,24.8,42.0,23.9,22.7,25.3,15.9,51.9,13.1,41.4,19.4
2022-08-28,12,887.3,229.3,132.1,114.4,67.1,60.2,200.4,142.2,40.9,536.8,122.9,103.6,22.6,40.8,45.1,29.1,25.5,17.2,52.2,12.1,49.4,19.4
2022-08-28,13,865.6,215.9,152.4,112.5,72.7,62.3,199.1,166.8,38.6,529.3,122.6,105.4,35.2,45.7,21.1,34.7,29.4,31.6,51.2,25.6,49.1,19.2
2022-08-28,14,882.9,248.4,162.0,102.9,72.7,61.5,194.4,212.3,37.8,553.9,120.5,107.8,36.3,40.8,22.9,36.0,32.1,16.1,58.4,23.6,58.3,19.4
2022-08-28,15,921.8,234.7,164.8,136.8,66.3,58.4,213.7,146.4,48.7,577.8,94.2,105.2,41.1,42.1,23.0,22.5,26.3,16.9,52.4,26.7,58.0,20.1
2022-08-28,16,929.8,238.3,167.5,118.0,66.9,65.6,214.8,236.2,44.9,575.6,60.5,112.8,36.7,48.3,33.6,20.1,27.3,33.6,52.3,23.7,57.9,19.3
2022-08-28,17,884.3,235.8,167.3,87.4,67.3,59.6,197.2,286.0,39.0,560.1,49.7,108.5,26.9,51.1,21.7,28.7,28.8,30.1,56.1,13.9,64.3,20.1
2022-08-28,18,879.5,224.3,176.0,89.9,73.5,66.0,211.9,286.4,33.7,538.5,0.0,103.3,35.8,54.8,22.9,28.5,26.5,37.7,53.6,24.5,56.7,19.3
2022-08-28,19,881.0,215.8,178.3,59.3,63.1,73.0,203.6,320.6,32.0,538.2,0.0,105.1,30.6,56.0,45.0,24.5,30.8,17.7,65.2,26.4,52.9,19.0
2022-08-28,20,879.1,202.6,183.4,59.6,62.6,78.0,198.7,296.5,32.1,523.6,0.0,104.3,40.4,59.4,36.8,25.6,35.7,30.7,53.0,26.9,56.6,18.8
2022-08-28,21,875.8,201.9,183.8,60.3,70.5,75.7,203.7,303.3,28.3,532.5,0.0,103.3,35.2,61.3,61.8,20.2,27.2,31.5,52.8,24.0,58.0,19.3
2022-08-28,22,846.4,202.2,184.6,56.3,69.3,75.2,199.9,291.3,31.7,513.0,0.0,101.5,24.8,48.2,39.2,19.9,34.6,36.1,52.9,12.2,58.9,22.3
2022-08-28,23,854.4,197.0,173.5,60.2,62.3,63.3,202.2,315.2,26.1,512.9,0.0,100.4,25.5,49.3,40.6,31.2,27.5,17.2,52.9,13.7,54.8,19.1
