day,time,SV-2,SV-5,SV-6,HV-M1,HV-M2,HV-NM,HV-EM,중앙P/P,전기전자컴퓨터공학동,신소재공학,생명과학동,기계공학동,LG도서관,창업B동,금호관,"냉각수순환펌프1,2,3","냉각수순환펌프4,5,6",기혼자아파트E동,기숙사9동,고등광/극초단,신소재공학동(E),전기전자컴퓨터공학동(E),생명과학동(E),기계공학동(E),LG도서관(E),중앙P/P(E),고등광연구소(E)
2022-07-02,0,3336.0,2121.0,1259.0,2138.0,1254.0,1732.0,405.0,159.0,414.0,379.0,424.0,119.0,235.0,21.0,50.0,0.0,0.0,308.0,62.0,776.0,32.0,115.0,100.0,14.0,35.0,86.0,54.0
2022-07-02,1,3271.0,2143.0,1182.0,2136.0,1182.0,1740.0,396.0,144.0,412.0,377.0,474.0,109.0,238.0,20.0,49.0,0.0,0.0,288.0,74.0,765.0,34.0,119.0,100.0,3.0,35.0,85.0,53.0
2022-07-02,2,3157.0,2037.0,1194.0,2042.0,1198.0,1681.0,381.0,135.0,416.0,366.0,412.0,108.0,257.0,20.0,49.0,0.0,0.0,271.0,49.0,767.0,28.0,112.0,101.0,0.0,35.0,81.0,52.0
2022-07-02,3,3116.0,2020.0,1215.0,2026.0,1209.0,1645.0,379.0,138.0,400.0,361.0,397.0,108.0,250.0,24.0,54.0,0.0,0.0,252.0,44.0,825.0,28.0,112.0,98.0,13.0,36.0,76.0,53.0
2022-07-02,4,3137.0,2000.0,1177.0,1999.0,1180.0,1649.0,374.0,136.0,410.0,369.0,401.0,105.0,229.0,19.0,49.0,0.0,0.0,243.0,40.0,800.0,28.0,111.0,95.0,0.0,35.0,63.0,53.0
2022-07-02,5,3009.0,1952.0,1140.0,1952.0,1144.0,1607.0,362.0,98.0,403.0,365.0,391.0,109.0,250.0,8.0,48.0,0.0,0.0,221.0,36.0,763.0,27.0,110.0,100.0,0.0,33.0,58.0,50.0
2022-07-02,6,3055.0,1992.0,1124.0,2008.0,1122.0,1628.0,376.0,91.0,398.0,359.0,470.0,107.0,244.0,19.0,48.0,0.0,0.0,230.0,37.0,761.0,27.0,109.0,94.0,0.0,33.0,58.0,63.0
2022-07-02,7,3088.0,1970.0,1162.0,1967.0,1161.0,1590.0,408.0,82.0,408.0,368.0,471.0,112.0,223.0,18.0,49.0,0.0,0.0,221.0,39.0,801.0,28.0,112.0,103.0,0.0,43.0,71.0,68.0
2022-07-02,8,3132.0,2031.0,1176.0,2022.0,1174.0,1599.0,429.0,43.0,408.0,375.0,468.0,125.0,237.0,18.0,50.0,0.0,0.0,233.0,44.0,809.0,35.0,115.0,116.0,12.0,48.0,91.0,69.0
2022-07-02,9,3200.0,2097.0,1236.0,2088.0,1234.0,1649.0,449.0,26.0,431.0,392.0,456.0,127.0,262.0,18.0,52.0,0.0,0.0,243.0,58.0,818.0,35.0,120.0,117.0,0.0,54.0,80.0,68.0
2022-07-02,10,3193.0,2089.0,1170.0,2104.0,1168.0,1641.0,473.0,8.0,425.0,411.0,440.0,133.0,268.0,18.0,53.0,0.0,0.0,213.0,58.0,810.0,43.0,127.0,122.0,7.0,56.0,83.0,76.0
