day,time,중앙P/P,전기전자컴퓨터공학동,신소재공학,생명과학동,기계공학동,LG도서관,창업B동,금호관,"냉각수순환펌프1,2,3","냉각수순환펌프4,5,6",기혼자아파트E동,기숙사9동,고등광/극초단,신소재공학동(E),전기전자컴퓨터공학동(E),생명과학동(E),기계공학동(E),LG도서관(E),중앙P/P(E),고등광연구소(E)
2022-08-04,0,166.5,461.0,456.7,497.7,119.7,252.2,47.2,52.5,0.0,0.0,355.6,64.2,843.9,36.2,140.7,77.2,13.5,38.7,95.9,61.9
2022-08-04,1,166.5,449.9,447.6,519.4,113.2,262.7,36.9,53.0,0.0,0.0,344.2,61.9,799.4,37.0,147.3,78.9,7.8,38.6,88.3,61.7
2022-08-04,2,152.6,450.8,444.1,460.7,110.0,243.6,32.9,53.0,0.0,0.0,315.1,51.4,850.5,35.3,138.9,76.4,14.7,36.5,75.8,63.5
2022-08-04,3,156.7,440.6,424.2,451.3,103.8,246.4,33.7,54.2,0.0,0.0,295.7,45.9,849.4,32.5,137.9,75.6,6.9,36.6,72.9,59.6
2022-08-04,4,162.9,436.2,424.4,456.9,102.8,240.0,39.5,53.7,0.0,0.0,291.1,42.8,827.0,29.4,138.5,76.7,3.1,38.8,81.4,60.1
2022-08-04,5,153.8,439.7,424.4,502.6,100.8,247.7,34.4,52.7,0.0,0.0,275.5,42.2,825.5,29.5,134.4,76.7,6.4,36.2,75.2,57.6
2022-08-04,6,125.0,432.6,424.4,490.9,108.9,245.9,25.6,54.3,0.0,0.0,285.8,42.9,822.1,30.3,133.6,86.1,15.9,47.2,94.3,63.8
2022-08-04,7,124.3,450.6,422.1,497.8,124.9,243.6,39.0,54.7,0.0,0.0,343.4,46.8,798.5,31.1,138.7,108.2,6.9,70.2,128.4,86.1
2022-08-04,8,169.0,493.0,482.0,599.0,178.5,317.6,43.4,70.9,210.3,139.3,429.8,61.9,876.0,44.5,148.9,140.0,17.5,80.9,143.5,109.8
2022-08-04,9,178.7,528.9,547.6,710.2,222.0,352.1,63.2,74.7,209.9,137.9,439.9,61.5,1021.0,53.4,161.6,165.7,20.1,80.9,159.1,138.7
2022-08-04,10,173.7,542.1,573.3,686.2,239.9,339.8,56.8,100.6,209.9,137.6,454.9,59.9,1061.5,55.4,161.0,188.7,22.4,84.8,151.0,130.4
2022-08-04,11,176.5,560.1,569.0,700.7,232.4,368.4,55.1,91.0,210.0,137.4,465.7,77.7,1038.3,49.4,163.1,181.3,22.4,85.2,228.9,115.5
2022-08-04,12,133.5,560.4,555.1,675.4,237.2,350.0,54.8,78.7,210.3,137.5,399.7,62.5,1073.5,47.7,165.2,171.4,21.9,84.6,234.9,108.8
2022-08-04,13,179.7,558.4,604.2,719.3,243.7,369.3,47.0,88.1,209.7,137.5,436.5,58.9,1095.8,48.5,166.1,181.3,23.4,85.0,189.8,128.5
2022-08-04,14,237.9,578.9,607.8,637.0,251.8,363.4,55.6,75.0,209.8,137.5,357.9,47.4,1064.8,51.1,166.1,179.3,24.0,87.0,164.8,132.3
2022-08-04,15,177.3,582.3,616.5,676.6,261.2,369.0,45.0,74.3,209.8,137.3,343.1,46.8,1158.4,51.1,162.2,148.9,23.8,78.2,179.4,134.3
2022-08-04,16,162.4,581.1,596.6,718.7,254.4,339.1,79.1,71.8,209.9,137.7,376.4,53.5,1138.5,47.1,167.3,154.3,24.1,76.6,180.7,124.2
2022-08-04,17,173.3,577.6,585.9,612.3,235.0,337.9,64.4,68.1,0.0,0.0,412.5,50.9,1132.7,54.6,158.2,143.3,22.1,82.9,208.6,119.7
2022-08-04,18,167.8,509.4,547.7,612.9,196.2,335.5,63.8,68.3,0.0,0.0,378.1,69.9,1058.8,47.1,155.9,125.7,21.6,73.4,194.0,92.7
2022-08-04,19,215.8,505.9,528.9,539.2,184.6,304.1,64.5,63.0,0.0,0.0,413.5,71.0,878.6,46.0,153.6,97.7,21.0,71.9,118.5,74.4
2022-08-04,20,206.1,480.8,513.6,569.6,153.8,281.1,26.4,60.6,0.0,0.0,413.3,69.0,868.8,47.7,144.4,91.3,20.7,81.8,97.3,68.6
2022-08-04,21,195.1,482.5,500.6,560.9,148.5,290.3,31.7,76.0,0.0,0.0,389.9,67.8,888.0,41.0,147.9,92.6,17.6,56.4,89.6,66.0
2022-08-04,22,196.7,466.2,481.6,474.6,138.8,285.1,24.3,55.9,0.0,0.0,400.9,74.3,874.5,44.5,148.1,85.5,18.2,64.8,94.1,65.0
2022-08-04,23,187.5,453.7,468.2,497.1,128.5,279.3,28.6,56.1,0.0,0.0,393.2,81.3,860.6,38.4,146.9,80.6,18.2,60.4,83.3,62.4
