day,time,SV-2,SV-5,SV-6,HV-M1,HV-M2,HV-NM,HV-EM,중앙P/P,전기전자컴퓨터공학동,신소재공학,생명과학동,기계공학동,LG도서관,창업B동,금호관,"냉각수순환펌프1,2,3","냉각수순환펌프4,5,6",기혼자아파트E동,기숙사9동,고등광/극초단,신소재공학동(E),전기전자컴퓨터공학동(E),생명과학동(E),기계공학동(E),LG도서관(E),중앙P/P(E),고등광연구소(E)
2022-08-16,0,635.4,693.6,440.3,435.5,332.9,913.1,947.2,519.2,364.8,0.7,615.4,931.0,754.2,709.6,100.4,581.3,75.5,215.8,919.4,476.3,124.4,85.5,985.9,38.3,333.2,982.6,359.4
2022-08-16,1,639.1,695.9,441.7,437.8,334.3,915.0,947.6,519.4,365.3,1.1,615.9,931.1,754.4,709.6,100.4,581.3,75.5,216.1,919.4,477.0,124.5,85.6,986.0,38.3,333.2,982.7,359.4
2022-08-16,2,642.6,698.1,443.1,440.0,335.7,916.8,947.9,519.5,365.7,1.5,616.3,931.3,754.7,709.6,100.5,581.3,75.5,216.5,919.5,477.8,124.5,85.7,986.1,38.3,333.2,982.7,359.5
2022-08-16,3,646.1,700.2,444.4,442.1,337.0,918.6,948.3,519.7,366.1,2.0,616.8,931.4,754.9,709.6,100.5,581.3,75.5,216.7,919.6,478.5,124.5,85.8,986.1,38.4,333.3,982.8,359.5
2022-08-16,4,649.6,702.3,445.7,444.3,338.3,920.4,948.7,519.8,366.4,2.4,617.2,931.5,755.1,709.7,100.6,581.3,75.5,217.0,919.6,479.2,124.6,85.9,986.2,38.4,333.3,982.8,359.6
2022-08-16,5,652.9,704.5,447.0,446.4,339.6,922.1,949.0,520.0,366.8,2.8,617.6,931.6,755.4,709.7,100.6,581.3,75.5,217.3,919.6,479.9,124.6,86.1,986.3,38.4,333.3,982.9,359.6
2022-08-16,6,656.3,706.6,448.3,448.5,340.8,923.9,949.4,520.1,367.2,3.2,618.1,931.7,755.6,709.7,100.7,581.3,75.5,217.5,919.7,480.6,124.6,86.2,986.3,38.4,333.4,983.0,359.6
2022-08-16,7,659.6,708.6,449.6,450.6,342.1,925.6,949.7,520.2,367.6,3.6,618.5,931.8,755.8,709.7,100.7,581.3,75.5,217.8,919.7,481.3,124.6,86.3,986.4,38.4,333.4,983.0,359.7
2022-08-16,8,663.2,710.8,450.9,452.8,343.4,927.4,950.2,520.3,368.0,4.0,619.0,931.9,756.0,709.7,100.8,581.3,75.5,218.1,919.7,482.1,124.7,86.4,986.5,38.4,333.4,983.1,359.7
2022-08-16,9,667.5,713.5,452.6,455.4,345.2,929.4,950.7,520.5,368.4,4.4,619.5,932.0,756.3,709.8,100.9,581.5,75.6,218.4,919.8,482.9,124.7,86.5,986.6,38.4,333.5,983.3,359.8
2022-08-16,10,672.3,716.4,454.5,458.4,347.1,931.7,951.3,520.7,368.8,4.9,620.1,932.2,756.6,709.8,100.9,581.7,75.7,218.7,919.9,483.7,124.7,86.7,986.8,38.4,333.6,983.4,359.9
2022-08-16,11,677.2,719.5,456.4,461.4,348.9,934.2,952.0,520.9,369.3,5.5,620.7,932.4,756.9,709.8,101.0,581.9,75.9,219.0,919.9,484.6,124.8,86.8,986.9,38.4,333.6,983.5,360.0
2022-08-16,12,682.2,722.5,458.3,464.5,350.8,936.5,952.6,521.0,369.8,6.0,621.3,932.6,757.2,709.9,101.0,582.1,76.0,219.4,920.0,485.5,124.8,86.9,987.1,38.4,333.7,983.7,360.1
2022-08-16,13,687.2,725.6,460.2,467.5,352.8,938.9,953.3,521.1,370.2,6.6,621.9,932.8,757.5,709.9,101.1,582.3,76.2,219.7,920.0,486.5,124.9,87.1,987.2,38.4,333.8,983.8,360.2
2022-08-16,14,692.2,728.7,462.2,470.6,354.7,941.4,953.9,521.2,370.7,7.1,622.5,933.1,757.9,710.0,101.2,582.5,76.3,220.1,920.1,487.4,124.9,87.2,987.4,38.5,333.8,984.0,360.2
