day,time,SV-2,SV-5,SV-6,HV-M1,HV-M2,HV-NM,HV-EM,중앙P/P,전기전자컴퓨터공학동,신소재공학,생명과학동,기계공학동,LG도서관,창업B동,금호관,"냉각수순환펌프1,2,3","냉각수순환펌프4,5,6",기혼자아파트E동,기숙사9동,고등광/극초단,신소재공학동(E),전기전자컴퓨터공학동(E),생명과학동(E),기계공학동(E),LG도서관(E),중앙P/P(E),고등광연구소(E)
2022-07-23,0,405.1,282.3,616.3,22.3,509.4,777.1,672.9,444.9,117.4,737.9,338.9,849.0,606.2,695.8,69.0,553.7,61.4,44.0,890.0,35.6,106.2,13.0,925.5,33.3,303.5,932.8,321.5
2022-07-23,1,408.3,284.4,617.4,24.4,510.6,778.8,673.3,445.1,117.7,738.3,339.3,849.1,606.5,695.8,69.0,553.7,61.4,44.3,890.0,36.3,106.3,13.1,925.6,33.3,303.5,932.9,321.6
2022-07-23,2,411.5,286.4,618.6,26.5,511.7,780.4,673.6,445.2,118.1,738.7,339.7,849.2,606.7,695.9,69.1,553.7,61.4,44.6,890.1,36.9,106.3,13.2,925.7,33.3,303.5,932.9,321.6
2022-07-23,3,414.6,288.4,619.7,28.5,512.8,782.1,674.0,445.3,118.5,739.0,340.1,849.3,606.9,695.9,69.1,553.7,61.4,44.8,890.1,37.6,106.3,13.3,925.8,33.3,303.6,933.0,321.7
2022-07-23,4,417.7,290.4,620.8,30.4,513.9,783.7,674.4,445.5,118.8,739.4,340.5,849.4,607.1,695.9,69.2,553.7,61.4,45.0,890.2,38.2,106.3,13.4,925.9,33.3,303.6,933.0,321.7
2022-07-23,5,420.7,292.4,621.9,32.4,515.0,785.3,674.7,445.6,119.2,739.7,340.9,849.5,607.3,695.9,69.2,553.7,61.4,45.2,890.2,38.9,106.4,13.5,926.0,33.3,303.6,933.1,321.8
2022-07-23,6,423.7,294.3,622.9,34.4,516.1,786.9,675.1,445.7,119.5,740.1,341.4,849.6,607.6,695.9,69.3,553.7,61.4,45.4,890.2,39.5,106.4,13.6,926.0,33.3,303.6,933.1,321.8
2022-07-23,7,426.7,296.2,624.0,36.3,517.1,788.4,675.5,445.8,119.9,740.4,341.8,849.6,607.8,696.0,69.3,553.7,61.4,45.6,890.3,40.1,106.4,13.7,926.1,33.3,303.7,933.2,321.9
2022-07-23,8,429.6,298.1,625.0,38.2,518.1,789.9,675.8,445.9,120.2,740.8,342.1,849.7,608.0,696.0,69.4,553.7,61.4,45.8,890.3,40.8,106.4,13.8,926.2,33.3,303.7,933.3,321.9
2022-07-23,9,432.6,300.1,626.1,40.1,519.2,791.5,676.2,445.9,120.6,741.2,342.5,849.8,608.2,696.0,69.4,553.7,61.4,46.0,890.3,41.4,106.5,13.9,926.3,33.3,303.7,933.3,322.0
2022-07-23,10,435.7,302.1,627.2,42.1,520.3,793.0,676.7,445.9,120.9,741.6,342.9,849.9,608.4,696.0,69.5,553.7,61.4,46.2,890.4,42.1,106.5,14.1,926.4,33.3,303.8,933.4,322.1
2022-07-23,11,438.8,304.1,628.3,44.2,521.4,794.6,677.1,446.0,121.3,742.0,343.3,850.0,608.7,696.0,69.5,553.7,61.4,46.4,890.4,42.7,106.5,14.2,926.5,33.3,303.8,933.4,322.1
2022-07-23,12,442.0,306.2,629.4,46.2,522.5,796.3,677.6,446.0,121.7,742.4,343.7,850.1,608.9,696.1,69.5,553.7,61.4,46.6,890.5,43.4,106.6,14.3,926.7,33.3,303.9,933.5,322.2
2022-07-23,13,445.3,308.3,630.6,48.3,523.7,797.9,678.0,446.0,122.0,742.8,344.2,850.2,609.2,696.1,69.6,553.7,61.4,46.8,890.5,44.1,106.6,14.4,926.8,33.3,303.9,933.5,322.3
2022-07-23,14,448.6,310.4,631.7,50.5,524.8,799.6,678.4,446.1,122.4,743.2,344.6,850.3,609.4,696.1,69.6,553.7,61.4,47.1,890.6,44.8,106.6,14.5,926.9,33.3,304.0,933.6,322.3
2022-07-23,15,451.9,312.6,632.9,52.7,526.0,801.4,678.9,446.1,122.8,743.6,345.1,850.4,609.7,696.1,69.7,553.7,61.4,47.3,890.6,45.5,106.6,14.6,927.0,33.3,304.1,933.6,322.4
2022-07-23,16,455.3,314.9,634.1,54.9,527.2,803.2,679.3,446.2,123.2,744.0,345.5,850.5,609.9,696.2,69.7,553.7,61.4,47.5,890.7,46.1,106.7,14.8,927.1,33.3,304.1,933.7,322.5
