day,time,SV-2,SV-5,SV-6,HV-M1,HV-M2,HV-NM,HV-EM,중앙P/P,전기전자컴퓨터공학동,신소재공학,생명과학동,기계공학동,LG도서관,창업B동,금호관,"냉각수순환펌프1,2,3","냉각수순환펌프4,5,6",기혼자아파트E동,기숙사9동,고등광/극초단,신소재공학동(E),전기전자컴퓨터공학동(E),생명과학동(E),기계공학동(E),LG도서관(E),중앙P/P(E),고등광연구소(E)
2022-08-30,0,3314.0,2065.0,1336.0,2060.0,1338.0,1670.0,422.0,156.0,416.0,372.0,423.0,113.0,206.0,35.0,52.0,0.0,0.0,268.0,55.0,763.0,43.0,127.0,86.0,17.0,34.0,91.0,53.0
2022-08-30,1,3158.0,2001.0,1212.0,2004.0,1210.0,1636.0,408.0,147.0,396.0,374.0,448.0,99.0,182.0,33.0,51.0,0.0,0.0,264.0,50.0,713.0,28.0,127.0,87.0,15.0,33.0,92.0,55.0
2022-08-30,2,3133.0,1993.0,1177.0,1997.0,1174.0,1636.0,383.0,142.0,414.0,360.0,463.0,101.0,180.0,44.0,50.0,0.0,0.0,220.0,42.0,721.0,33.0,124.0,88.0,7.0,32.0,71.0,52.0
2022-08-30,3,3088.0,1929.0,1206.0,1928.0,1206.0,1576.0,369.0,143.0,387.0,358.0,402.0,99.0,192.0,33.0,50.0,0.0,0.0,214.0,40.0,759.0,28.0,123.0,90.0,6.0,32.0,63.0,54.0
2022-08-30,4,3106.0,1943.0,1173.0,1954.0,1176.0,1599.0,362.0,143.0,402.0,359.0,399.0,98.0,194.0,34.0,51.0,0.0,0.0,214.0,36.0,732.0,27.0,123.0,87.0,6.0,35.0,62.0,52.0
2022-08-30,5,3014.0,1923.0,1166.0,1921.0,1161.0,1584.0,368.0,140.0,403.0,359.0,393.0,95.0,182.0,28.0,51.0,0.0,0.0,215.0,36.0,740.0,30.0,125.0,91.0,6.0,31.0,54.0,50.0
2022-08-30,6,3074.0,1935.0,1196.0,1937.0,1195.0,1553.0,395.0,114.0,405.0,364.0,412.0,95.0,180.0,33.0,53.0,0.0,0.0,208.0,34.0,746.0,34.0,124.0,99.0,17.0,32.0,78.0,50.0
2022-08-30,7,3336.0,2133.0,1199.0,2135.0,1196.0,1681.0,477.0,100.0,394.0,373.0,459.0,106.0,249.0,35.0,52.0,0.0,0.0,259.0,42.0,736.0,36.0,133.0,131.0,18.0,67.0,87.0,59.0
2022-08-30,8,4142.0,2523.0,1699.0,2538.0,1695.0,1962.0,573.0,164.0,431.0,400.0,543.0,172.0,258.0,60.0,66.0,212.0,284.0,277.0,61.0,816.0,44.0,150.0,165.0,19.0,72.0,122.0,72.0
2022-08-30,9,4494.0,2714.0,1844.0,2804.0,1840.0,2095.0,636.0,176.0,458.0,436.0,617.0,191.0,277.0,64.0,66.0,210.0,138.0,360.0,58.0,905.0,50.0,147.0,192.0,22.0,76.0,123.0,90.0
2022-08-30,10,4711.0,2918.0,1871.0,2922.0,1879.0,2285.0,668.0,259.0,490.0,459.0,701.0,210.0,260.0,59.0,78.0,210.0,138.0,356.0,60.0,905.0,47.0,148.0,199.0,23.0,87.0,116.0,108.0
2022-08-30,11,4647.0,2900.0,1928.0,2907.0,1930.0,2216.0,704.0,194.0,491.0,468.0,567.0,200.0,289.0,53.0,84.0,210.0,138.0,376.0,57.0,974.0,51.0,152.0,216.0,23.0,87.0,155.0,110.0
2022-08-30,12,4780.0,2856.0,1972.0,2865.0,1971.0,2173.0,719.0,145.0,500.0,476.0,577.0,208.0,281.0,50.0,89.0,210.0,139.0,431.0,55.0,1015.0,56.0,151.0,220.0,23.0,82.0,166.0,101.0
2022-08-30,13,4947.0,3045.0,2001.0,3057.0,2010.0,2340.0,727.0,181.0,507.0,486.0,632.0,227.0,313.0,50.0,73.0,210.0,138.0,432.0,55.0,945.0,54.0,157.0,235.0,23.0,88.0,144.0,108.0
