day,time,SV-2,SV-5,SV-6,HV-M1,HV-M2,HV-NM,HV-EM,중앙P/P,전기전자컴퓨터공학동,신소재공학,생명과학동,기계공학동,LG도서관,창업B동,금호관,"냉각수순환펌프1,2,3","냉각수순환펌프4,5,6",기혼자아파트E동,기숙사9동,고등광/극초단,신소재공학동(E),전기전자컴퓨터공학동(E),생명과학동(E),기계공학동(E),LG도서관(E),중앙P/P(E),고등광연구소(E)
2022-08-10,0,3795.0,2366.0,1554.0,2364.0,1553.0,1971.0,424.0,164.0,460.0,451.0,494.0,135.0,264.0,45.0,56.0,0.0,0.0,396.0,76.0,836.0,37.0,140.0,85.0,18.0,37.0,82.0,54.0
2022-08-10,1,3723.0,2270.0,1533.0,2264.0,1535.0,1876.0,404.0,165.0,448.0,453.0,437.0,134.0,246.0,33.0,56.0,0.0,0.0,375.0,55.0,867.0,37.0,137.0,84.0,17.0,36.0,70.0,52.0
2022-08-10,2,3638.0,2277.0,1473.0,2272.0,1478.0,1870.0,412.0,158.0,448.0,438.0,451.0,124.0,248.0,26.0,56.0,0.0,0.0,345.0,51.0,845.0,32.0,137.0,84.0,15.0,36.0,69.0,54.0
2022-08-10,3,3568.0,2271.0,1390.0,2267.0,1390.0,1871.0,393.0,153.0,446.0,435.0,478.0,121.0,252.0,30.0,57.0,0.0,0.0,305.0,45.0,821.0,31.0,135.0,81.0,3.0,41.0,83.0,49.0
2022-08-10,4,3547.0,2190.0,1383.0,2202.0,1382.0,1829.0,386.0,161.0,439.0,438.0,428.0,118.0,254.0,18.0,60.0,0.0,0.0,302.0,43.0,804.0,35.0,134.0,82.0,7.0,37.0,69.0,48.0
2022-08-10,5,3547.0,2196.0,1401.0,2189.0,1397.0,1816.0,391.0,151.0,440.0,440.0,436.0,116.0,236.0,30.0,57.0,0.0,0.0,294.0,52.0,828.0,38.0,134.0,86.0,3.0,37.0,78.0,48.0
2022-08-10,6,3555.0,2238.0,1367.0,2242.0,1366.0,1849.0,408.0,138.0,442.0,424.0,471.0,129.0,243.0,21.0,72.0,0.0,0.0,302.0,45.0,774.0,37.0,135.0,95.0,15.0,43.0,90.0,53.0
2022-08-10,7,3850.0,2486.0,1410.0,2491.0,1403.0,2001.0,504.0,148.0,491.0,442.0,576.0,146.0,250.0,29.0,60.0,0.0,0.0,338.0,47.0,814.0,36.0,138.0,116.0,17.0,63.0,109.0,60.0
2022-08-10,8,4642.0,2934.0,1804.0,2934.0,1800.0,2304.0,655.0,181.0,487.0,478.0,575.0,204.0,324.0,42.0,68.0,207.0,112.0,359.0,66.0,874.0,50.0,153.0,145.0,17.0,85.0,173.0,82.0
2022-08-10,9,4998.0,3138.0,1948.0,3150.0,1955.0,2516.0,660.0,184.0,523.0,540.0,664.0,246.0,354.0,59.0,72.0,205.0,94.0,359.0,72.0,1029.0,49.0,160.0,159.0,22.0,78.0,172.0,107.0
2022-08-10,10,5065.0,3207.0,1946.0,3214.0,1951.0,2558.0,700.0,186.0,541.0,584.0,686.0,253.0,357.0,54.0,68.0,206.0,95.0,311.0,66.0,1026.0,49.0,162.0,157.0,24.0,75.0,209.0,102.0
2022-08-10,11,5124.0,3277.0,1934.0,3291.0,1934.0,2586.0,728.0,246.0,548.0,584.0,677.0,244.0,325.0,55.0,68.0,206.0,96.0,316.0,65.0,1029.0,49.0,161.0,154.0,24.0,81.0,244.0,102.0
2022-08-10,12,5082.0,3222.0,1972.0,3251.0,1991.0,2541.0,733.0,148.0,537.0,580.0,633.0,254.0,368.0,54.0,67.0,205.0,96.0,347.0,69.0,1038.0,47.0,160.0,139.0,23.0,71.0,241.0,96.0
2022-08-10,13,5159.0,3285.0,2042.0,3310.0,2037.0,2655.0,709.0,192.0,555.0,595.0,703.0,252.0,335.0,56.0,71.0,205.0,95.0,378.0,63.0,1057.0,50.0,160.0,163.0,24.0,82.0,180.0,101.0
2022-08-10,14,5199.0,3329.0,1969.0,3333.0,1969.0,2655.0,678.0,203.0,558.0,590.0,701.0,254.0,333.0,44.0,78.0,205.0,94.0,319.0,58.0,1047.0,53.0,161.0,166.0,24.0,81.0,160.0,104.0
2022-08-10,15,5225.0,3279.0,1966.0,3283.0,1960.0,2608.0,678.0,196.0,563.0,598.0,643.0,249.0,349.0,52.0,70.0,205.0,95.0,298.0,63.0,1108.0,56.0,163.0,151.0,21.0,81.0,160.0,107.0
2022-08-10,16,5149.0,3254.0,1926.0,3258.0,1911.0,2600.0,676.0,186.0,551.0,598.0,695.0,233.0,332.0,44.0,75.0,205.0,94.0,290.0,65.0,1141.0,48.0,162.0,148.0,24.0,81.0,162.0,98.0
