day,time,SV-2,SV-5,SV-6,HV-M1,HV-M2,HV-NM,HV-EM,중앙P/P,전기전자컴퓨터공학동,신소재공학,생명과학동,기계공학동,LG도서관,창업B동,금호관,"냉각수순환펌프1,2,3","냉각수순환펌프4,5,6",기혼자아파트E동,기숙사9동,고등광/극초단,신소재공학동(E),전기전자컴퓨터공학동(E),생명과학동(E),기계공학동(E),LG도서관(E),중앙P/P(E),고등광연구소(E)
2022-07-30,0,3571.0,2217.0,1415.0,2226.0,1416.0,1822.0,416.0,148.0,448.0,427.0,429.0,110.0,263.0,29.0,55.0,0.0,0.0,382.0,65.0,782.0,34.0,137.0,96.0,11.0,38.0,76.0,54.0
2022-07-30,1,3507.0,2204.0,1348.0,2208.0,1333.0,1818.0,422.0,148.0,443.0,418.0,420.0,108.0,282.0,31.0,56.0,0.0,0.0,345.0,58.0,749.0,30.0,144.0,95.0,7.0,38.0,84.0,55.0
2022-07-30,2,3484.0,2153.0,1351.0,2155.0,1345.0,1780.0,400.0,132.0,443.0,418.0,427.0,104.0,264.0,22.0,57.0,0.0,0.0,316.0,49.0,788.0,28.0,135.0,97.0,6.0,35.0,75.0,57.0
2022-07-30,3,3501.0,2200.0,1339.0,2194.0,1362.0,1832.0,412.0,139.0,440.0,413.0,474.0,107.0,250.0,30.0,56.0,0.0,0.0,296.0,46.0,767.0,30.0,135.0,99.0,7.0,38.0,74.0,56.0
2022-07-30,4,3365.0,2122.0,1277.0,2129.0,1276.0,1750.0,397.0,143.0,446.0,409.0,426.0,110.0,249.0,28.0,56.0,0.0,0.0,286.0,43.0,749.0,29.0,134.0,95.0,15.0,35.0,65.0,55.0
2022-07-30,5,3364.0,2119.0,1283.0,2118.0,1286.0,1732.0,396.0,124.0,428.0,406.0,423.0,104.0,259.0,29.0,56.0,0.0,0.0,279.0,40.0,766.0,27.0,135.0,96.0,3.0,34.0,61.0,55.0
2022-07-30,6,3328.0,2108.0,1265.0,2097.0,1277.0,1711.0,396.0,92.0,440.0,409.0,424.0,105.0,256.0,33.0,56.0,0.0,0.0,269.0,39.0,745.0,28.0,135.0,93.0,3.0,35.0,76.0,66.0
2022-07-30,7,3335.0,2130.0,1263.0,2139.0,1268.0,1716.0,418.0,79.0,443.0,418.0,449.0,112.0,250.0,34.0,56.0,0.0,0.0,267.0,45.0,738.0,34.0,137.0,102.0,6.0,41.0,68.0,74.0
2022-07-30,8,3603.0,2286.0,1318.0,2292.0,1323.0,1842.0,474.0,97.0,454.0,418.0,456.0,143.0,283.0,32.0,57.0,0.0,0.0,311.0,46.0,774.0,36.0,141.0,113.0,7.0,59.0,85.0,75.0
2022-07-30,9,3580.0,2329.0,1311.0,2324.0,1309.0,1857.0,488.0,93.0,459.0,437.0,437.0,148.0,302.0,30.0,60.0,0.0,0.0,305.0,49.0,742.0,34.0,142.0,112.0,10.0,63.0,84.0,77.0
