day,time,SV-2,SV-5,SV-6,HV-M1,HV-M2,HV-NM,HV-EM,중앙P/P,전기전자컴퓨터공학동,신소재공학,생명과학동,기계공학동,LG도서관,창업B동,금호관,"냉각수순환펌프1,2,3","냉각수순환펌프4,5,6",기혼자아파트E동,기숙사9동,고등광/극초단,신소재공학동(E),전기전자컴퓨터공학동(E),생명과학동(E),기계공학동(E),LG도서관(E),중앙P/P(E),고등광연구소(E)
2022-08-29,0,808.7,427.1,882.8,169.9,775.1,496.5,96.6,556.4,490.8,133.1,757.5,975.0,832.0,717.4,116.9,598.0,84.5,303.0,935.0,711.8,134.3,123.4,22.3,41.5,349.2,8.5,379.2
2022-08-29,1,811.8,429.0,884.0,171.8,776.2,498.1,97.0,556.5,491.1,133.4,757.9,975.1,832.2,717.4,116.9,598.0,84.5,303.2,935.1,712.5,134.3,123.5,22.4,41.5,349.2,8.6,379.2
2022-08-29,2,814.8,430.9,885.1,173.7,777.4,499.7,97.3,556.6,491.4,133.8,758.3,975.2,832.4,717.4,117.0,598.0,84.5,303.5,935.1,713.1,134.4,123.6,22.5,41.5,349.3,8.6,379.3
2022-08-29,3,817.8,432.7,886.2,175.6,778.4,501.2,97.6,556.7,491.8,134.1,758.7,975.3,832.6,717.4,117.0,598.0,84.5,303.7,935.2,713.7,134.4,123.7,22.6,41.5,349.3,8.7,379.3
2022-08-29,4,820.7,434.6,887.3,177.4,779.5,502.7,98.0,556.9,492.1,134.4,759.0,975.3,832.8,717.4,117.0,598.0,84.5,303.9,935.2,714.3,134.4,123.8,22.6,41.5,349.3,8.7,379.3
2022-08-29,5,823.6,436.4,888.4,179.3,780.6,504.2,98.3,557.0,492.4,134.8,759.4,975.4,833.0,717.5,117.1,598.0,84.5,304.1,935.2,714.9,134.4,123.9,22.7,41.5,349.4,8.8,379.4
2022-08-29,6,826.4,438.2,889.4,181.1,781.6,505.7,98.6,557.1,492.8,135.1,759.8,975.5,833.2,717.5,117.1,598.0,84.5,304.2,935.3,715.5,134.5,124.0,22.8,41.5,349.4,8.8,379.4
2022-08-29,7,829.3,440.0,890.5,182.9,782.7,507.1,99.0,557.2,493.1,135.4,760.1,975.6,833.4,717.5,117.2,598.0,84.5,304.4,935.3,716.2,134.5,124.1,22.9,41.5,349.4,8.9,379.5
2022-08-29,8,832.3,441.9,891.6,184.8,783.8,508.6,99.4,557.3,493.4,135.8,760.5,975.7,833.6,717.5,117.2,598.1,84.5,304.6,935.3,716.8,134.5,124.2,23.0,41.5,349.5,8.9,379.5
2022-08-29,9,836.1,444.1,893.2,187.0,785.4,510.4,99.9,557.4,493.8,136.1,760.9,975.8,833.8,717.6,117.3,598.3,84.7,304.8,935.4,717.5,134.5,124.4,23.1,41.5,349.5,9.0,379.6
