day,time,SV-2,SV-5,SV-6,HV-M1,HV-M2,HV-NM,HV-EM,중앙P/P,전기전자컴퓨터공학동,신소재공학,생명과학동,기계공학동,LG도서관,창업B동,금호관,"냉각수순환펌프1,2,3","냉각수순환펌프4,5,6",기혼자아파트E동,기숙사9동,고등광/극초단,신소재공학동(E),전기전자컴퓨터공학동(E),생명과학동(E),기계공학동(E),LG도서관(E),중앙P/P(E),고등광연구소(E)
2022-07-29,0,3691.0,2354.0,1445.0,2370.0,1439.0,1953.0,444.0,152.0,454.0,435.0,526.0,118.0,267.0,31.0,55.0,0.0,0.0,392.0,59.0,790.0,33.0,139.0,106.0,9.0,37.0,94.0,53.0
2022-07-29,1,3581.0,2269.0,1354.0,2275.0,1360.0,1850.0,435.0,150.0,445.0,432.0,465.0,113.0,274.0,24.0,56.0,0.0,0.0,352.0,51.0,788.0,34.0,139.0,100.0,17.0,36.0,67.0,59.0
2022-07-29,2,3496.0,2223.0,1326.0,2222.0,1322.0,1828.0,418.0,138.0,443.0,423.0,461.0,107.0,258.0,31.0,58.0,0.0,0.0,326.0,46.0,780.0,34.0,138.0,98.0,7.0,38.0,81.0,56.0
2022-07-29,3,3487.0,2223.0,1308.0,2222.0,1305.0,1828.0,414.0,143.0,441.0,410.0,450.0,112.0,254.0,36.0,54.0,0.0,0.0,289.0,41.0,769.0,32.0,137.0,101.0,7.0,40.0,66.0,54.0
2022-07-29,4,3430.0,2191.0,1296.0,2210.0,1300.0,1823.0,404.0,147.0,428.0,405.0,497.0,104.0,254.0,27.0,54.0,0.0,0.0,293.0,38.0,795.0,34.0,135.0,101.0,6.0,39.0,74.0,53.0
2022-07-29,5,3457.0,2191.0,1288.0,2204.0,1285.0,1827.0,398.0,136.0,440.0,412.0,463.0,106.0,268.0,26.0,58.0,0.0,0.0,266.0,36.0,777.0,29.0,136.0,100.0,6.0,35.0,70.0,52.0
2022-07-29,6,3499.0,2217.0,1320.0,2214.0,1327.0,1806.0,442.0,116.0,456.0,411.0,474.0,106.0,257.0,35.0,56.0,0.0,0.0,286.0,37.0,782.0,36.0,140.0,110.0,7.0,40.0,73.0,65.0
2022-07-29,7,3674.0,2432.0,1297.0,2437.0,1298.0,1886.0,540.0,100.0,467.0,435.0,519.0,127.0,269.0,32.0,58.0,0.0,0.0,310.0,46.0,777.0,37.0,142.0,132.0,17.0,61.0,115.0,78.0
2022-07-29,8,4444.0,2810.0,1719.0,2799.0,1723.0,2171.0,662.0,122.0,484.0,504.0,558.0,218.0,330.0,34.0,68.0,206.0,101.0,341.0,66.0,837.0,45.0,152.0,179.0,18.0,80.0,158.0,102.0
2022-07-29,9,4751.0,3030.0,1816.0,3018.0,1803.0,2334.0,725.0,107.0,518.0,559.0,628.0,243.0,339.0,49.0,72.0,205.0,101.0,364.0,68.0,963.0,50.0,164.0,191.0,22.0,85.0,154.0,131.0
2022-07-29,10,4889.0,3141.0,1839.0,3160.0,1832.0,2415.0,776.0,67.0,555.0,572.0,608.0,256.0,366.0,47.0,79.0,205.0,101.0,318.0,67.0,985.0,49.0,172.0,190.0,22.0,77.0,203.0,133.0
2022-07-29,11,5119.0,3312.0,1895.0,3282.0,1898.0,2496.0,834.0,138.0,574.0,582.0,664.0,244.0,363.0,63.0,85.0,205.0,101.0,374.0,86.0,1034.0,53.0,172.0,194.0,23.0,83.0,255.0,140.0
2022-07-29,12,5111.0,3198.0,1959.0,3216.0,1957.0,2477.0,808.0,149.0,564.0,585.0,657.0,248.0,348.0,57.0,77.0,206.0,101.0,392.0,64.0,1066.0,50.0,165.0,179.0,23.0,80.0,284.0,123.0
