day,time,SV-2,SV-5,SV-6,HV-M1,HV-M2,HV-NM,HV-EM,중앙P/P,전기전자컴퓨터공학동,신소재공학,생명과학동,기계공학동,LG도서관,창업B동,금호관,"냉각수순환펌프1,2,3","냉각수순환펌프4,5,6",기혼자아파트E동,기숙사9동,고등광/극초단,신소재공학동(E),전기전자컴퓨터공학동(E),생명과학동(E),기계공학동(E),LG도서관(E),중앙P/P(E),고등광연구소(E)
2022-07-09,0,3380.0,2115.0,1310.0,2108.0,1318.0,1730.0,384.0,143.0,378.0,398.0,430.0,123.0,247.0,30.0,51.0,0.0,0.0,342.0,66.0,779.0,34.0,118.0,98.0,14.0,43.0,78.0,53.0
2022-07-09,1,3360.0,2093.0,1298.0,2100.0,1296.0,1727.0,397.0,168.0,382.0,389.0,465.0,117.0,240.0,29.0,50.0,0.0,0.0,320.0,57.0,771.0,28.0,113.0,102.0,0.0,36.0,87.0,52.0
2022-07-09,2,3193.0,2008.0,1260.0,2014.0,1251.0,1659.0,376.0,123.0,375.0,386.0,412.0,114.0,230.0,27.0,49.0,0.0,0.0,282.0,49.0,754.0,27.0,114.0,102.0,0.0,37.0,66.0,51.0
2022-07-09,3,3154.0,2003.0,1231.0,1993.0,1235.0,1636.0,369.0,128.0,376.0,386.0,428.0,114.0,204.0,30.0,50.0,0.0,0.0,271.0,42.0,768.0,27.0,112.0,102.0,0.0,34.0,64.0,49.0
2022-07-09,4,3144.0,1965.0,1246.0,1970.0,1247.0,1605.0,389.0,147.0,372.0,383.0,413.0,116.0,197.0,19.0,51.0,0.0,0.0,256.0,40.0,775.0,27.0,110.0,97.0,0.0,34.0,61.0,50.0
2022-07-09,5,3141.0,1921.0,1246.0,1920.0,1247.0,1590.0,383.0,95.0,368.0,383.0,399.0,118.0,220.0,29.0,51.0,0.0,0.0,259.0,40.0,814.0,28.0,110.0,100.0,13.0,33.0,74.0,47.0
2022-07-09,6,3138.0,1985.0,1258.0,1974.0,1252.0,1617.0,369.0,94.0,370.0,377.0,463.0,115.0,245.0,19.0,51.0,0.0,0.0,254.0,36.0,818.0,27.0,116.0,99.0,0.0,34.0,56.0,55.0
2022-07-09,7,3120.0,1954.0,1184.0,1972.0,1177.0,1614.0,393.0,85.0,372.0,392.0,416.0,120.0,249.0,35.0,50.0,0.0,0.0,255.0,38.0,751.0,27.0,110.0,106.0,0.0,37.0,67.0,59.0
2022-07-09,8,3244.0,2022.0,1238.0,2018.0,1237.0,1606.0,449.0,74.0,380.0,391.0,428.0,120.0,252.0,34.0,51.0,0.0,0.0,273.0,42.0,754.0,32.0,112.0,121.0,0.0,55.0,77.0,66.0
2022-07-09,9,3275.0,2112.0,1254.0,2118.0,1252.0,1672.0,445.0,10.0,378.0,398.0,508.0,144.0,281.0,29.0,51.0,0.0,0.0,307.0,48.0,746.0,40.0,121.0,120.0,0.0,57.0,72.0,70.0
2022-07-09,10,3386.0,2139.0,1305.0,2140.0,1303.0,1689.0,476.0,60.0,391.0,411.0,505.0,139.0,269.0,43.0,52.0,0.0,0.0,310.0,45.0,806.0,39.0,123.0,119.0,14.0,59.0,84.0,68.0
2022-07-09,11,3429.0,2159.0,1322.0,2164.0,1322.0,1713.0,468.0,62.0,402.0,419.0,473.0,134.0,274.0,31.0,52.0,0.0,0.0,324.0,68.0,820.0,37.0,121.0,122.0,0.0,60.0,82.0,70.0
2022-07-09,12,3526.0,2206.0,1314.0,2208.0,1311.0,1766.0,459.0,36.0,400.0,424.0,491.0,138.0,282.0,30.0,53.0,0.0,0.0,346.0,53.0,815.0,36.0,123.0,122.0,10.0,57.0,90.0,70.0
2022-07-09,13,3359.0,2219.0,1260.0,2244.0,1239.0,1797.0,466.0,52.0,420.0,436.0,464.0,140.0,288.0,22.0,54.0,0.0,0.0,283.0,56.0,785.0,37.0,123.0,124.0,7.0,72.0,79.0,58.0
2022-07-09,14,3428.0,2208.0,1278.0,2214.0,1273.0,1745.0,470.0,60.0,418.0,445.0,538.0,155.0,277.0,31.0,54.0,0.0,0.0,255.0,55.0,796.0,38.0,127.0,127.0,16.0,70.0,80.0,65.0
2022-07-09,15,3463.0,2228.0,1288.0,2242.0,1301.0,1791.0,472.0,72.0,447.0,451.0,451.0,156.0,278.0,40.0,55.0,0.0,0.0,291.0,55.0,804.0,39.0,126.0,123.0,16.0,70.0,88.0,65.0
2022-07-09,16,3534.0,2262.0,1307.0,2261.0,1300.0,1809.0,473.0,71.0,436.0,444.0,453.0,151.0,283.0,33.0,54.0,0.0,0.0,289.0,57.0,791.0,45.0,128.0,124.0,3.0,64.0,82.0,59.0
2022-07-09,17,3571.0,2306.0,1287.0,2316.0,1280.0,1858.0,470.0,121.0,426.0,438.0,477.0,146.0,292.0,31.0,54.0,0.0,0.0,296.0,60.0,788.0,39.0,127.0,124.0,6.0,70.0,80.0,61.0
2022-07-09,18,3707.0,2429.0,1329.0,2421.0,1327.0,1969.0,468.0,121.0,432.0,442.0,568.0,138.0,320.0,31.0,51.0,0.0,0.0,317.0,59.0,789.0,40.0,134.0,121.0,15.0,66.0,85.0,56.0
2022-07-09,19,3672.0,2408.0,1321.0,2422.0,1314.0,1993.0,438.0,170.0,423.0,428.0,512.0,138.0,316.0,43.0,57.0,0.0,0.0,330.0,63.0,813.0,36.0,121.0,114.0,15.0,62.0,83.0,56.0
2022-07-09,20,3657.0,2372.0,1317.0,2379.0,1319.0,1942.0,447.0,176.0,416.0,427.0,516.0,135.0,300.0,29.0,51.0,0.0,0.0,335.0,59.0,806.0,32.0,123.0,108.0,15.0,55.0,93.0,57.0
2022-07-09,21,3631.0,2325.0,1330.0,2330.0,1329.0,1919.0,418.0,179.0,395.0,410.0,549.0,131.0,285.0,29.0,49.0,0.0,0.0,323.0,62.0,795.0,33.0,122.0,104.0,6.0,54.0,92.0,53.0
2022-07-09,22,3505.0,2252.0,1327.0,2268.0,1326.0,1862.0,420.0,167.0,394.0,416.0,490.0,128.0,297.0,30.0,49.0,0.0,0.0,325.0,62.0,789.0,33.0,121.0,103.0,6.0,42.0,93.0,54.0
2022-07-09,23,3484.0,2190.0,1341.0,2194.0,1334.0,1823.0,408.0,145.0,390.0,409.0,476.0,126.0,276.0,20.0,48.0,0.0,0.0,328.0,61.0,808.0,27.0,114.0,98.0,6.0,41.0,79.0,53.0
