day,time,중앙P/P,전기전자컴퓨터공학동,신소재공학,생명과학동,기계공학동,LG도서관,창업B동,금호관,"냉각수순환펌프1,2,3","냉각수순환펌프4,5,6",기혼자아파트E동,기숙사9동,고등광/극초단,신소재공학동(E),전기전자컴퓨터공학동(E),생명과학동(E),기계공학동(E),LG도서관(E),중앙P/P(E),고등광연구소(E)
2022-08-22,0,152.7,417.0,408.3,440.8,127.0,247.4,35.1,53.4,0.0,0.0,350.3,58.8,805.9,35.2,134.3,91.4,13.1,36.4,80.5,54.0
2022-08-22,1,156.7,405.9,392.8,483.3,120.7,264.4,23.0,52.0,0.0,0.0,322.0,55.0,794.5,29.5,126.1,91.6,11.7,36.7,71.3,54.5
2022-08-22,2,136.9,417.9,390.5,430.6,117.5,238.2,37.4,52.7,0.0,0.0,303.2,50.1,798.9,28.9,126.6,88.7,7.9,34.4,80.6,56.8
2022-08-22,3,139.1,412.4,389.6,438.3,123.9,231.7,39.5,52.1,0.0,0.0,265.5,44.8,775.5,32.8,129.5,90.2,7.1,34.5,59.3,55.0
2022-08-22,4,147.9,408.2,394.5,430.4,111.0,237.1,24.2,52.6,0.0,0.0,254.5,42.8,765.9,29.6,127.0,87.1,16.5,35.4,59.8,55.1
2022-08-22,5,143.9,423.2,391.0,432.6,117.3,244.7,39.4,51.6,0.0,0.0,238.7,40.4,773.0,29.1,124.3,92.6,10.5,34.5,57.1,55.2
2022-08-22,6,118.5,418.7,397.7,488.5,162.1,229.3,24.6,51.4,0.0,0.0,252.4,40.5,798.2,34.9,126.8,159.7,18.7,37.4,83.0,64.0
2022-08-22,7,161.5,447.9,411.7,475.6,165.3,257.2,37.7,58.8,207.0,99.7,266.8,44.6,782.3,38.3,133.2,177.4,16.5,55.4,142.8,69.1
2022-08-22,8,157.3,464.9,459.0,541.4,226.6,335.3,43.2,73.8,205.3,99.3,316.4,64.4,884.7,47.4,138.6,192.1,21.2,71.7,179.5,89.6
2022-08-22,9,129.6,498.2,517.7,626.1,238.9,340.0,57.4,73.4,205.6,99.0,336.0,71.5,1045.2,51.6,149.8,183.0,24.7,78.3,160.8,119.1
2022-08-22,10,140.1,530.7,531.2,652.1,243.8,334.8,68.8,75.5,205.2,99.5,302.5,66.8,1011.8,52.4,151.7,193.7,25.6,77.0,166.6,110.5
2022-08-22,11,81.9,524.4,533.4,646.1,251.4,329.1,61.8,73.7,205.7,99.6,301.9,84.5,1013.7,51.7,161.8,193.7,25.8,77.1,223.5,104.4
2022-08-22,12,57.2,519.7,553.2,621.4,291.6,353.0,53.2,74.2,205.3,98.3,316.1,75.5,1034.0,62.2,160.4,181.6,23.8,81.7,241.9,95.5
2022-08-22,13,87.6,542.0,574.8,625.7,292.2,346.5,55.6,73.6,205.2,98.6,321.1,65.7,1073.8,52.4,155.9,185.8,25.7,83.3,170.2,97.6
2022-08-22,14,138.4,540.6,576.4,652.4,260.7,362.1,60.0,69.6,205.4,98.5,284.0,55.8,1080.0,58.3,156.4,207.4,27.3,89.2,157.5,99.6
2022-08-22,15,139.3,547.2,574.9,669.6,243.8,354.3,55.9,69.3,205.4,98.2,294.5,61.7,1067.7,51.9,160.3,205.7,26.8,89.8,147.1,102.1
2022-08-22,16,143.8,553.3,563.8,628.2,249.5,330.1,54.7,80.3,205.2,96.9,268.2,58.7,1122.5,53.5,159.5,212.0,26.0,84.4,173.1,95.4
2022-08-22,17,169.3,516.5,541.0,661.3,234.6,359.3,55.2,65.9,0.0,0.0,287.6,57.4,1036.9,51.6,155.3,198.8,24.4,82.6,168.6,93.1
2022-08-22,18,189.6,495.4,522.7,535.7,241.5,322.9,57.9,62.6,0.0,0.0,327.4,60.5,1006.3,49.5,154.4,165.7,23.5,82.3,159.5,87.7
2022-08-22,19,198.9,474.5,490.5,491.0,161.7,286.1,41.5,59.5,0.0,0.0,385.8,60.9,837.3,50.9,142.6,150.1,21.9,78.2,101.2,61.4
2022-08-22,20,197.8,460.8,483.4,528.1,156.4,309.2,32.4,55.5,0.0,0.0,399.6,68.6,804.9,48.4,149.5,141.9,22.1,65.5,91.4,54.1
2022-08-22,21,171.9,465.6,469.4,465.5,156.3,280.0,35.7,54.3,0.0,0.0,357.5,64.8,806.7,43.2,143.7,132.0,20.8,44.3,92.4,55.1
2022-08-22,22,160.7,458.8,455.2,486.1,146.0,273.1,34.1,55.0,0.0,0.0,357.2,65.2,789.5,41.2,140.6,129.5,21.2,43.7,104.1,54.4
2022-08-22,23,155.6,444.1,448.6,468.7,148.1,274.2,39.9,53.3,0.0,0.0,362.1,69.5,759.2,38.5,137.3,123.6,21.3,47.2,81.4,53.2
