day,time,SV-2,SV-5,SV-6,HV-M1,HV-M2,HV-NM,HV-EM,중앙P/P,전기전자컴퓨터공학동,신소재공학,생명과학동,기계공학동,LG도서관,창업B동,금호관,"냉각수순환펌프1,2,3","냉각수순환펌프4,5,6",기혼자아파트E동,기숙사9동,고등광/극초단,신소재공학동(E),전기전자컴퓨터공학동(E),생명과학동(E),기계공학동(E),LG도서관(E),중앙P/P(E),고등광연구소(E)
2022-08-05,0,600.3,43.9,52.6,784.9,945.4,385.5,825.5,481.5,250.7,877.4,489.0,893.1,686.7,703.3,86.1,570.3,70.1,135.2,905.5,269.6,116.1,52.3,961.0,35.9,319.5,960.1,343.0
2022-08-05,1,604.0,46.1,54.0,787.2,946.8,387.3,825.9,481.6,251.1,877.9,489.4,893.3,687.0,703.3,86.1,570.3,70.1,135.5,905.6,270.3,116.1,52.4,961.1,35.9,319.6,960.2,343.0
2022-08-05,2,607.5,48.3,55.4,789.3,948.2,389.1,826.3,481.7,251.5,878.3,489.8,893.4,687.2,703.3,86.2,570.3,70.1,135.9,905.6,271.1,116.1,52.6,961.1,35.9,319.6,960.2,343.1
2022-08-05,3,611.0,50.4,56.8,791.5,949.5,390.9,826.7,481.9,251.9,878.7,490.2,893.5,687.4,703.3,86.2,570.3,70.1,136.2,905.7,271.8,116.2,52.7,961.2,35.9,319.6,960.3,343.2
2022-08-05,4,614.4,52.6,58.1,793.6,950.8,392.6,827.0,482.0,252.3,879.1,490.6,893.6,687.6,703.4,86.3,570.3,70.1,136.5,905.7,272.5,116.2,52.8,961.3,36.0,319.7,960.3,343.2
2022-08-05,5,617.8,54.7,59.4,795.7,952.1,394.4,827.4,482.1,252.7,879.6,491.0,893.7,687.9,703.4,86.3,570.3,70.1,136.7,905.8,273.2,116.2,52.9,961.3,36.0,319.7,960.4,343.3
2022-08-05,6,621.2,56.8,60.7,797.8,953.4,396.1,827.8,482.3,253.1,880.0,491.5,893.8,688.1,703.4,86.4,570.3,70.1,137.0,905.8,273.9,116.2,53.0,961.4,36.0,319.8,960.4,343.3
2022-08-05,7,624.6,58.9,62.0,800.0,954.7,397.9,828.2,482.4,253.5,880.4,491.9,893.9,688.3,703.4,86.4,570.3,70.1,137.2,905.8,274.6,116.3,53.2,961.5,36.0,319.8,960.5,343.4
2022-08-05,8,628.3,61.2,63.3,802.3,956.1,399.7,828.6,482.5,253.9,880.8,492.4,894.0,688.5,703.4,86.5,570.3,70.1,137.5,905.9,275.4,116.3,53.3,961.6,36.0,319.8,960.6,343.4
2022-08-05,9,632.6,63.8,65.1,804.9,957.8,401.7,829.2,482.6,254.3,881.3,492.9,894.2,688.8,703.5,86.6,570.5,70.2,137.8,905.9,276.1,116.3,53.4,961.7,36.0,319.9,960.7,343.5
2022-08-05,10,637.4,66.7,66.9,807.8,959.7,404.0,829.8,482.8,254.8,881.8,493.4,894.4,689.1,703.5,86.6,570.7,70.3,138.1,906.0,277.0,116.3,53.6,961.9,36.0,320.0,960.8,343.6
2022-08-05,11,642.3,69.8,68.8,810.8,961.6,406.4,830.4,482.9,255.2,882.3,494.0,894.6,689.4,703.5,86.7,570.9,70.5,138.4,906.0,277.9,116.4,53.7,962.0,36.0,320.1,960.9,343.7
2022-08-05,12,647.3,72.9,70.7,814.0,963.5,408.9,831.2,483.0,255.7,882.9,494.6,894.8,689.8,703.6,86.7,571.1,70.6,138.7,906.1,278.8,116.4,53.9,962.2,36.0,320.1,961.1,343.8
2022-08-05,13,652.3,76.0,72.6,817.1,965.4,411.2,831.9,483.1,256.2,883.4,495.2,895.0,690.1,703.6,86.8,571.4,70.8,139.0,906.2,279.8,116.5,54.0,962.3,36.0,320.2,961.3,343.9
2022-08-05,14,657.4,79.1,74.6,820.2,967.4,413.6,832.5,483.2,256.7,884.0,495.8,895.3,690.4,703.6,86.9,571.6,70.9,139.3,906.2,280.7,116.5,54.1,962.4,36.1,320.3,961.5,344.0
2022-08-05,15,662.5,82.2,76.6,823.3,969.3,416.2,833.2,483.4,257.3,884.6,496.4,895.5,690.7,703.7,86.9,571.8,71.0,139.6,906.2,281.8,116.5,54.3,962.6,36.1,320.3,961.6,344.1
2022-08-05,16,667.6,85.4,78.5,826.5,971.3,418.7,833.8,483.5,257.8,885.2,497.0,895.8,691.1,703.7,87.0,572.0,71.2,139.9,906.3,282.8,116.6,54.4,962.7,36.1,320.4,961.7,344.2
2022-08-05,17,672.6,88.5,80.4,829.6,973.2,421.1,834.5,483.6,258.3,885.7,497.6,896.0,691.4,703.8,87.1,572.2,71.3,140.1,906.3,283.8,116.6,54.6,962.8,36.1,320.5,961.9,344.3
2022-08-05,18,677.1,91.5,82.0,832.6,974.8,423.5,835.1,483.8,258.8,886.3,498.1,896.2,691.7,703.8,87.1,572.2,71.3,140.4,906.4,284.8,116.7,54.7,963.0,36.1,320.6,962.0,344.4
2022-08-05,19,681.6,94.3,83.7,835.4,976.4,425.7,835.6,483.9,259.3,886.8,498.7,896.4,692.0,703.8,87.2,572.2,71.3,140.7,906.5,285.7,116.7,54.9,963.1,36.1,320.6,962.2,344.5
2022-08-05,20,685.6,96.9,85.1,838.0,977.9,427.9,836.1,484.1,259.7,887.2,499.2,896.5,692.3,703.9,87.2,572.2,71.3,141.1,906.5,286.5,116.7,55.0,963.2,36.1,320.7,962.2,344.6
2022-08-05,21,689.6,99.4,86.6,840.5,979.4,429.9,836.5,484.3,260.1,887.7,499.7,896.6,692.5,703.9,87.3,572.2,71.3,141.4,906.6,287.3,116.8,55.1,963.2,36.1,320.7,962.3,344.6
2022-08-05,22,693.5,101.8,88.1,842.9,980.9,431.9,837.0,484.5,260.6,888.2,500.2,896.8,692.8,703.9,87.3,572.2,71.3,141.8,906.6,288.0,116.8,55.3,963.3,36.2,320.8,962.4,344.7
2022-08-05,23,697.3,104.2,89.6,845.3,982.3,433.9,837.4,484.7,261.0,888.6,500.6,896.9,693.0,703.9,87.4,572.2,71.3,142.1,906.7,288.8,116.8,55.4,963.4,36.2,320.8,962.4,344.7
