day,time,SV-2,SV-5,SV-6,HV-M1,HV-M2,HV-NM,HV-EM,중앙P/P,전기전자컴퓨터공학동,신소재공학,생명과학동,기계공학동,LG도서관,창업B동,금호관,"냉각수순환펌프1,2,3","냉각수순환펌프4,5,6",기혼자아파트E동,기숙사9동,고등광/극초단,신소재공학동(E),전기전자컴퓨터공학동(E),생명과학동(E),기계공학동(E),LG도서관(E),중앙P/P(E),고등광연구소(E)
2022-07-28,0,3563.0,2243.0,1365.0,2256.0,1362.0,1850.0,428.0,157.0,434.0,417.0,517.0,121.0,250.0,26.0,51.0,0.0,0.0,353.0,61.0,751.0,34.0,132.0,98.0,19.0,38.0,92.0,63.0
2022-07-28,1,3488.0,2201.0,1337.0,2195.0,1346.0,1783.0,431.0,153.0,432.0,419.0,456.0,110.0,224.0,31.0,52.0,0.0,0.0,320.0,54.0,764.0,33.0,135.0,98.0,15.0,38.0,79.0,62.0
2022-07-28,2,3386.0,2172.0,1315.0,2162.0,1314.0,1760.0,416.0,127.0,439.0,415.0,446.0,112.0,228.0,31.0,52.0,0.0,0.0,297.0,47.0,761.0,32.0,132.0,96.0,15.0,37.0,65.0,62.0
2022-07-28,3,3301.0,2123.0,1253.0,2117.0,1253.0,1716.0,403.0,129.0,427.0,398.0,462.0,103.0,201.0,26.0,52.0,0.0,0.0,268.0,42.0,742.0,30.0,133.0,99.0,6.0,36.0,63.0,61.0
2022-07-28,4,3269.0,2100.0,1255.0,2097.0,1251.0,1708.0,401.0,132.0,411.0,395.0,504.0,97.0,196.0,29.0,54.0,0.0,0.0,255.0,40.0,760.0,31.0,130.0,97.0,0.0,34.0,72.0,61.0
2022-07-28,5,3235.0,2026.0,1221.0,2031.0,1219.0,1670.0,386.0,127.0,417.0,395.0,442.0,100.0,201.0,43.0,51.0,0.0,0.0,241.0,39.0,741.0,33.0,132.0,94.0,0.0,34.0,64.0,60.0
2022-07-28,6,3235.0,2088.0,1224.0,2078.0,1236.0,1714.0,440.0,98.0,422.0,397.0,455.0,100.0,230.0,29.0,52.0,0.0,0.0,250.0,40.0,738.0,30.0,132.0,107.0,6.0,34.0,77.0,66.0
2022-07-28,7,4010.0,2421.0,1582.0,2414.0,1570.0,1920.0,510.0,110.0,446.0,416.0,506.0,140.0,270.0,33.0,56.0,206.0,134.0,280.0,41.0,767.0,33.0,137.0,131.0,9.0,83.0,123.0,86.0
2022-07-28,8,4573.0,2742.0,1846.0,2720.0,1869.0,2064.0,681.0,105.0,467.0,447.0,535.0,182.0,319.0,43.0,76.0,206.0,107.0,447.0,59.0,830.0,42.0,155.0,180.0,20.0,74.0,163.0,94.0
2022-07-28,9,4726.0,2944.0,1866.0,2969.0,1875.0,2300.0,717.0,88.0,502.0,505.0,673.0,209.0,353.0,42.0,78.0,206.0,102.0,449.0,67.0,917.0,51.0,154.0,184.0,23.0,88.0,200.0,120.0
2022-07-28,10,4879.0,3010.0,1916.0,3000.0,1921.0,2302.0,732.0,100.0,528.0,533.0,649.0,235.0,343.0,52.0,73.0,205.0,102.0,443.0,66.0,948.0,53.0,160.0,187.0,23.0,84.0,170.0,122.0
2022-07-28,11,4998.0,3194.0,1938.0,3213.0,1942.0,2435.0,760.0,103.0,548.0,532.0,589.0,240.0,402.0,40.0,74.0,205.0,101.0,468.0,61.0,947.0,51.0,165.0,191.0,24.0,93.0,234.0,119.0
2022-07-28,12,5017.0,3122.0,1987.0,3125.0,1998.0,2384.0,780.0,138.0,554.0,549.0,609.0,235.0,349.0,41.0,76.0,205.0,100.0,467.0,60.0,1012.0,46.0,166.0,177.0,24.0,87.0,227.0,123.0
2022-07-28,13,5139.0,3159.0,2046.0,3164.0,2033.0,2437.0,760.0,102.0,569.0,578.0,585.0,261.0,376.0,46.0,75.0,205.0,101.0,480.0,65.0,1012.0,52.0,178.0,187.0,25.0,89.0,211.0,123.0
2022-07-28,14,5142.0,3105.0,2116.0,3096.0,2108.0,2382.0,738.0,68.0,562.0,572.0,556.0,295.0,353.0,45.0,76.0,206.0,101.0,397.0,64.0,1126.0,53.0,177.0,192.0,24.0,92.0,158.0,121.0
2022-07-28,15,5122.0,3124.0,2079.0,3131.0,2060.0,2440.0,720.0,69.0,582.0,586.0,611.0,255.0,366.0,50.0,77.0,206.0,100.0,412.0,59.0,1048.0,51.0,176.0,192.0,24.0,86.0,142.0,121.0
2022-07-28,16,5007.0,3136.0,1953.0,3143.0,1960.0,2455.0,707.0,144.0,552.0,564.0,600.0,252.0,385.0,66.0,82.0,205.0,97.0,409.0,57.0,1015.0,49.0,169.0,181.0,24.0,79.0,162.0,104.0
2022-07-28,17,4723.0,3051.0,1725.0,3070.0,1728.0,2400.0,694.0,139.0,560.0,559.0,605.0,243.0,342.0,66.0,67.0,205.0,0.0,364.0,50.0,895.0,55.0,165.0,174.0,23.0,75.0,162.0,100.0
