day,time,SV-2,SV-5,SV-6,HV-M1,HV-M2,HV-NM,HV-EM,중앙P/P,전기전자컴퓨터공학동,신소재공학,생명과학동,기계공학동,LG도서관,창업B동,금호관,"냉각수순환펌프1,2,3","냉각수순환펌프4,5,6",기혼자아파트E동,기숙사9동,고등광/극초단,신소재공학동(E),전기전자컴퓨터공학동(E),생명과학동(E),기계공학동(E),LG도서관(E),중앙P/P(E),고등광연구소(E)
2022-08-08,0,877.5,217.4,156.9,958.7,49.6,526.8,857.6,491.1,281.5,910.8,523.0,903.0,705.1,704.8,90.0,572.2,71.3,157.2,909.4,325.1,118.2,61.6,967.2,36.5,323.2,965.7,347.6
2022-08-08,1,881.1,219.6,158.3,960.9,51.0,528.6,858.0,491.2,281.9,911.2,523.4,903.1,705.3,704.8,90.0,572.2,71.3,157.6,909.5,325.8,118.2,61.7,967.2,36.5,323.2,965.8,347.6
2022-08-08,2,884.6,221.8,159.6,963.1,52.3,530.4,858.4,491.4,282.3,911.6,523.9,903.2,705.5,704.8,90.1,572.2,71.3,157.9,909.5,326.5,118.3,61.8,967.3,36.5,323.3,965.8,347.7
2022-08-08,3,888.1,223.9,161.0,965.2,53.7,532.2,858.7,491.5,282.7,912.0,524.3,903.4,705.6,704.8,90.1,572.2,71.3,158.3,909.5,327.2,118.3,61.9,967.4,36.5,323.3,965.9,347.8
2022-08-08,4,891.5,226.1,162.2,967.4,54.9,534.0,859.1,491.7,283.1,912.5,524.8,903.5,705.8,704.8,90.2,572.2,71.3,158.5,909.6,327.9,118.3,62.0,967.5,36.5,323.3,965.9,347.8
2022-08-08,5,894.9,228.2,163.5,969.5,56.2,535.7,859.5,491.8,283.5,912.9,525.2,903.6,706.0,704.8,90.2,572.2,71.3,158.8,909.6,328.6,118.3,62.2,967.5,36.5,323.4,966.0,347.9
2022-08-08,6,898.2,230.3,164.8,971.6,57.5,537.5,859.8,492.0,283.9,913.3,525.7,903.7,706.2,704.9,90.3,572.2,71.3,159.1,909.7,329.3,118.4,62.3,967.6,36.5,323.4,966.0,347.9
2022-08-08,7,901.7,232.5,166.1,973.8,58.8,539.3,860.2,492.1,284.3,913.7,526.1,903.8,706.4,704.9,90.3,572.2,71.3,159.3,909.7,330.0,118.4,62.4,967.7,36.5,323.4,966.1,348.0
2022-08-08,8,905.3,234.8,167.4,976.1,60.1,541.1,860.7,492.2,284.7,914.1,526.6,904.0,706.6,704.9,90.4,572.2,71.3,159.6,909.7,330.7,118.4,62.5,967.8,36.5,323.5,966.2,348.0
2022-08-08,9,909.7,237.5,169.1,978.8,61.8,543.3,861.2,492.4,285.1,914.6,527.1,904.1,706.9,704.9,90.4,572.3,71.3,160.0,909.8,331.5,118.5,62.6,967.9,36.5,323.5,966.3,348.1
