day,time,수평면,외기온도,경사면,모듈온도,축구장,학생회관,중앙창고,학사과정,다산빌딩,시설관리동,대학C동,동물실험동,중앙도서관,LG도서관,신재생에너지동,삼성환경동,중앙연구기기센터,산업협력관,기숙사 B동
2022-07-29,0,0.0,27.8,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-29,1,0.0,27.3,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-29,2,0.0,27.0,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-29,3,0.0,26.8,0.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-29,4,0.0,26.9,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-29,5,0.0,26.3,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-29,6,11.0,26.5,8.0,24.3,0.0,0.2,0.0,0.0,-0.1,-0.4,0.3,0.0,0.1,0.0,0.7,0.0,0.0,1.1,0.0
2022-07-29,7,166.0,30.0,63.0,25.8,3.1,4.0,3.4,2.4,0.9,2.7,0.7,1.6,1.1,1.4,4.2,2.3,4.0,4.6,1.9
2022-07-29,8,363.0,34.0,248.0,31.2,27.0,12.3,9.8,6.5,4.8,19.4,2.7,7.6,5.9,6.1,15.0,11.8,21.7,22.4,9.7
2022-07-29,9,445.0,34.3,376.0,36.6,57.9,15.5,12.2,13.0,12.8,33.6,5.6,16.2,11.6,15.7,30.6,25.2,41.9,46.2,22.1
2022-07-29,10,787.0,38.3,739.0,46.6,71.8,28.9,19.2,7.2,19.1,69.7,8.0,23.2,16.6,24.4,40.3,35.2,65.5,64.1,29.3
2022-07-29,11,853.0,41.6,833.0,49.1,101.1,29.4,19.6,8.4,22.1,77.2,9.1,25.8,20.4,28.0,45.5,40.6,75.7,75.6,32.1
2022-07-29,12,262.0,42.0,253.0,49.0,70.3,0.0,5.8,2.4,16.2,23.0,3.2,9.4,7.0,12.6,23.2,14.8,32.8,26.9,9.8
2022-07-29,13,163.0,37.8,180.0,46.4,22.8,0.0,3.9,10.0,6.1,17.2,11.4,6.8,4.6,6.3,28.6,9.9,65.9,36.3,39.9
2022-07-29,14,938.0,48.8,1002.0,59.8,67.9,31.5,18.9,9.0,26.8,89.0,6.0,30.0,6.4,10.9,51.3,46.8,86.9,87.2,37.1
2022-07-29,15,752.0,44.9,824.0,54.7,55.5,26.7,15.3,7.3,23.7,77.2,9.2,25.8,20.2,28.3,44.0,40.5,75.3,75.7,31.8
2022-07-29,16,616.0,43.1,684.0,50.6,41.4,22.3,11.5,0.6,20.4,66.3,8.0,18.6,17.4,23.5,37.2,34.3,63.8,12.2,4.7
2022-07-29,17,129.0,39.2,128.0,45.0,4.0,3.9,1.7,0.0,2.1,11.2,1.1,3.1,2.0,2.4,5.1,4.1,7.5,8.7,3.5
2022-07-29,18,245.0,41.4,257.0,42.1,7.9,6.3,2.1,2.1,7.1,23.4,3.1,8.9,7.1,6.8,14.4,12.5,24.9,25.7,10.9
2022-07-29,19,53.0,35.4,48.0,33.9,1.8,1.6,0.6,0.0,1.1,3.7,0.8,1.8,1.4,1.6,3.3,2.5,4.3,4.6,2.0
2022-07-29,20,0.0,33.6,0.0,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-29,21,0.0,32.8,0.0,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-29,22,0.0,30.8,0.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-29,23,0.0,29.2,0.0,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
