day,time,수평면,외기온도,경사면,모듈온도,축구장,학생회관,중앙창고,학사과정,다산빌딩,시설관리동,대학C동,동물실험동,중앙도서관,LG도서관,신재생에너지동,삼성환경동,중앙연구기기센터,산업협력관,기숙사 B동
2022-07-25,0,0.0,24.0,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-25,1,0.0,23.9,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-25,2,0.0,23.9,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-25,3,0.0,23.8,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-25,4,0.0,23.4,0.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-25,5,0.0,23.5,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-25,6,0.0,23.6,0.0,21.7,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-25,7,86.0,25.7,73.0,24.2,6.6,2.8,1.7,0.7,1.5,5.8,1.1,2.5,1.9,2.5,4.8,3.6,6.7,7.2,3.2
2022-07-25,8,203.0,31.2,160.0,28.5,15.5,6.8,5.1,4.5,4.5,14.3,2.3,6.0,4.8,6.0,11.5,8.6,17.0,17.8,7.7
2022-07-25,9,321.0,32.4,299.0,31.5,38.2,12.3,7.7,6.6,8.9,29.8,3.7,10.3,7.9,10.6,17.9,15.6,28.5,29.4,12.4
2022-07-25,10,355.0,32.9,328.0,35.2,39.5,13.1,8.0,7.4,9.9,32.5,4.2,11.2,8.8,11.8,19.7,17.0,31.3,32.1,13.8
2022-07-25,11,600.0,36.2,569.0,44.9,69.4,21.5,13.2,8.9,13.3,54.1,5.4,15.2,12.4,16.6,26.1,23.5,42.0,41.7,16.9
2022-07-25,12,361.0,36.2,341.0,36.8,41.3,13.1,8.0,7.7,10.4,33.1,4.4,11.6,9.1,12.5,20.6,17.6,32.8,34.1,14.7
2022-07-25,13,158.0,38.2,168.0,41.6,26.5,6.1,3.9,18.9,9.4,16.1,9.4,29.9,23.4,32.4,53.4,10.1,69.2,91.1,36.7
2022-07-25,14,188.0,39.8,185.0,40.9,23.8,7.1,4.0,4.6,5.7,17.8,2.4,6.9,4.9,6.6,11.2,9.8,17.9,21.6,31.0
2022-07-25,15,905.0,43.9,954.0,50.5,103.9,30.5,18.2,18.3,26.3,88.4,10.5,28.9,23.2,32.3,50.8,46.1,86.0,85.5,35.9
2022-07-25,16,683.0,40.0,719.0,44.9,73.5,24.4,10.8,13.5,17.7,69.6,3.4,22.4,19.5,25.3,26.7,28.7,36.4,66.7,27.2
2022-07-25,17,429.0,38.0,462.0,41.4,46.0,15.7,6.6,8.6,14.4,43.8,6.1,15.8,13.1,15.2,27.3,24.8,46.5,45.7,20.2
2022-07-25,18,280.0,34.4,284.0,36.6,27.7,8.1,3.3,5.5,8.7,26.8,3.7,10.3,8.5,9.7,17.9,15.4,30.6,30.6,11.5
2022-07-25,19,18.0,28.2,19.0,26.2,0.5,0.7,0.0,0.5,0.8,2.9,0.6,1.7,1.3,1.2,3.0,2.0,1.9,3.7,1.7
2022-07-25,20,0.0,26.3,0.0,24.4,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-25,21,0.0,25.2,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-25,22,0.0,24.3,0.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-25,23,0.0,23.8,0.0,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
