day,time,수평면,외기온도,경사면,모듈온도,축구장,학생회관,중앙창고,학사과정,다산빌딩,시설관리동,대학C동,동물실험동,중앙도서관,LG도서관,신재생에너지동,삼성환경동,중앙연구기기센터,산업협력관,기숙사 B동
2022-08-21,0,0.0,25.3,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-21,1,0.0,24.6,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-21,2,0.0,24.8,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-21,3,0.0,25.5,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-21,4,0.0,25.7,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-21,5,0.0,24.6,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-21,6,0.0,24.6,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2022-08-21,7,55.0,26.5,41.0,24.5,1.5,1.8,1.1,0.9,0.5,1.7,0.7,1.6,1.0,1.3,3.1,2.1,3.8,4.5,1.8
2022-08-21,8,240.0,33.7,180.0,31.1,10.1,8.0,6.7,5.3,3.0,10.1,2.4,6.1,3.0,3.9,8.0,5.9,12.4,17.8,8.3
2022-08-21,9,535.0,35.3,472.0,36.6,29.6,17.2,14.7,10.9,11.2,31.5,5.2,14.6,4.6,6.1,13.6,17.4,36.7,42.6,18.9
2022-08-21,10,297.0,38.0,288.0,43.3,27.8,11.0,6.9,11.4,10.2,19.1,4.0,15.4,7.7,10.6,20.2,17.1,42.8,68.6,15.2
2022-08-21,11,673.0,35.4,684.0,42.1,32.4,23.8,16.6,17.0,20.9,46.7,8.8,22.5,18.1,25.9,41.8,35.0,68.6,65.1,26.0
2022-08-21,12,611.0,38.1,649.0,41.3,72.2,32.4,8.6,5.1,10.5,47.4,3.2,30.9,7.3,9.6,17.6,18.8,37.6,76.5,10.5
2022-08-21,13,367.0,46.8,368.0,52.0,24.4,12.7,8.0,7.4,10.4,23.6,4.3,11.7,9.3,12.7,20.4,17.7,33.3,33.4,14.5
2022-08-21,14,900.0,48.2,1004.0,56.0,48.5,30.9,19.6,17.6,28.0,64.4,10.3,29.0,23.6,33.1,51.7,46.0,88.1,85.9,35.5
2022-08-21,15,194.0,35.4,194.0,36.8,11.8,7.0,4.2,4.0,6.0,12.9,2.7,6.8,5.4,7.1,12.0,10.2,18.9,19.6,8.7
2022-08-21,16,514.0,39.5,609.0,45.1,37.0,19.6,10.4,11.0,20.3,43.5,7.6,20.2,15.8,21.8,34.5,31.6,58.7,54.8,24.2
2022-08-21,17,332.0,37.6,388.0,40.8,23.8,12.3,6.0,6.5,12.8,27.4,4.6,11.5,10.2,12.1,21.5,20.1,37.1,30.7,12.7
2022-08-21,18,190.0,33.5,206.0,33.9,10.5,5.5,2.9,3.6,6.5,13.4,2.6,6.7,5.6,6.3,11.9,10.2,19.3,18.3,8.3
2022-08-21,19,2.0,28.2,2.0,25.8,0.0,0.0,0.0,0.0,-0.3,-0.5,0.2,0.1,0.1,0.0,0.5,0.0,0.0,0.5,0.0
2022-08-21,20,0.0,27.0,0.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-21,21,0.0,26.7,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-21,22,0.0,26.2,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-21,23,0.0,25.1,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
